commit,committed_utc,mcp_spec,pinned_version_published_utc,lag_days_from_publication,latest_stable_mcp_at_commit
cb8f3089b6,2025-03-29T10:47:46+00:00,>=1.5.0,,,1.6.0
9f928978ca,2025-06-01T17:38:47+00:00,>=1.9.2,,,1.9.2
bbcbaeb163,2025-06-13T14:22:47+00:00,>=1.9.4,,,1.9.4
cc91d4d85b,2025-06-29T08:17:24+00:00,>=1.10.1,,,1.10.1
eb8dadd753,2025-07-12T06:59:44+00:00,>=1.11.0,,,1.11.0
407dcd2b92,2025-07-22T19:31:34+00:00,>=1.12.1,,,1.12.1
47bba0c647,2025-08-01T06:06:09+00:00,==1.12.3,2025-07-31T18:36:34+00:00,0.5,1.12.3
36f5f02093,2025-09-07T11:13:19+00:00,==1.13.1,2025-08-22T09:22:14+00:00,16.1,1.13.1
204864e982,2025-09-26T03:09:10+00:00,==1.15.0,2025-09-25T15:39:50+00:00,0.5,1.15.0
0cf1f8b92c,2025-10-12T19:34:45+00:00,==1.17.0,2025-10-10T12:16:42+00:00,2.3,1.17.0
7c5a9b0d30,2025-10-17T16:40:18+00:00,==1.18.0,2025-10-16T19:19:53+00:00,0.9,1.18.0
5f8b320c77,2025-10-18T21:54:23+00:00,==1.17.0,2025-10-10T12:16:42+00:00,8.4,1.18.0
e9bffc4ef0,2025-10-21T01:58:53+00:00,==1.18.0,2025-10-16T19:19:53+00:00,4.3,1.18.0
a3fa9ba09a,2025-10-27T19:26:23+00:00,==1.19.0,2025-10-24T01:11:14+00:00,3.8,1.19.0
460a7c1d93,2025-11-07T17:09:19+00:00,==1.21.0,2025-11-06T23:19:56+00:00,0.7,1.21.0
6a6a126899,2025-11-16T09:52:10+00:00,==1.21.1,2025-11-13T20:33:44+00:00,2.6,1.21.1
99c188bda3,2025-11-20T02:37:23+00:00,==1.21.2,2025-11-17T13:56:04+00:00,2.5,1.21.2
73eed91202,2025-12-03T07:59:26+00:00,==1.23.1,2025-12-02T18:41:11+00:00,0.6,1.23.1
b022b6978b,2025-12-16T13:31:46+00:00,==1.24.0,2025-12-12T14:19:36+00:00,4.0,1.24.0
4a900a1fc6,2025-12-19T15:12:55+00:00,==1.25.0,2025-12-19T10:19:55+00:00,0.2,1.25.0
0971b00b87,2026-02-13T22:18:39+00:00,==1.26.0,2026-01-24T19:40:30+00:00,20.1,1.26.0
35601f7b30,2026-04-08T18:26:34+00:00,==1.27.0,2026-04-02T14:48:07+00:00,6.2,1.27.0
67882f3de2,2026-06-09T14:57:01+00:00,==1.27.2,2026-05-29T17:16:02+00:00,10.9,1.27.2
c11fe8887b,2026-07-06T12:52:19+00:00,==1.28.1,2026-06-26T12:57:27+00:00,10.0,1.28.1
e10b71c138,2026-08-19T13:13:21+00:00,==2.0.0,2026-07-28T13:45:28+00:00,22.0,2.0.0
