repo,pseudonym,author_class,author_subclass,commits,active_days
R00,H01,human account,"GitHub noreply address, not marked as bot",76,8
R00,U01,unknown,"no bot marker, not a GitHub noreply address",12,4
R00,B01,bot,dependency-update bot,2,2
R00,H10,human account,"GitHub noreply address, not marked as bot",2,1
R00,H11,human account,"GitHub noreply address, not marked as bot",1,1
R00,U15,unknown,"no bot marker, not a GitHub noreply address",1,1
R00,U14,unknown,"no bot marker, not a GitHub noreply address",1,1
R01,U135,unknown,"no bot marker, not a GitHub noreply address",96,19
R01,U137,unknown,"no bot marker, not a GitHub noreply address",1,1
R02,U140,unknown,"no bot marker, not a GitHub noreply address",79,4
R02,U138,unknown,"no bot marker, not a GitHub noreply address",61,6
R02,U147,unknown,"no bot marker, not a GitHub noreply address",30,5
R02,H85,human account,"GitHub noreply address, not marked as bot",16,7
R02,U144,unknown,"no bot marker, not a GitHub noreply address",9,2
R02,U145,unknown,"no bot marker, not a GitHub noreply address",4,2
R02,H87,human account,"GitHub noreply address, not marked as bot",4,4
R02,H89,human account,"GitHub noreply address, not marked as bot",2,2
R02,U148,unknown,"no bot marker, not a GitHub noreply address",2,1
R02,U146,unknown,"no bot marker, not a GitHub noreply address",2,1
R02,H88,human account,"GitHub noreply address, not marked as bot",1,1
R03,U150,unknown,"no bot marker, not a GitHub noreply address",24,3
R03,U153,unknown,"no bot marker, not a GitHub noreply address",2,1
R04,U172,unknown,"no bot marker, not a GitHub noreply address",12,5
R04,U173,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,U179,unknown,"no bot marker, not a GitHub noreply address",197,28
R05,U200,unknown,"no bot marker, not a GitHub noreply address",169,25
R05,H105,human account,"GitHub noreply address, not marked as bot",36,17
R05,B01,bot,dependency-update bot,6,6
R05,U248,unknown,"no bot marker, not a GitHub noreply address",3,1
R05,U250,unknown,"no bot marker, not a GitHub noreply address",2,2
R05,B05,bot,AI coding tool identity,2,1
R05,U245,unknown,"no bot marker, not a GitHub noreply address",2,2
R05,H130,human account,"GitHub noreply address, not marked as bot",2,2
R05,U246,unknown,"no bot marker, not a GitHub noreply address",2,1
R05,U251,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,U249,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,U247,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,U206,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,H131,human account,"GitHub noreply address, not marked as bot",1,1
R05,U244,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,H129,human account,"GitHub noreply address, not marked as bot",1,1
R05,U243,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,U242,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,H128,human account,"GitHub noreply address, not marked as bot",1,1
R05,H127,human account,"GitHub noreply address, not marked as bot",1,1
R05,U241,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,U240,unknown,"no bot marker, not a GitHub noreply address",1,1
R05,B02,bot,AI coding tool identity,1,1
R06,H175,human account,"GitHub noreply address, not marked as bot",1330,28
R06,H177,human account,"GitHub noreply address, not marked as bot",151,5
R06,B10,bot,other bot,1,1
R07,U369,unknown,"no bot marker, not a GitHub noreply address",4,4
R07,U371,unknown,"no bot marker, not a GitHub noreply address",3,3
R07,U377,unknown,"no bot marker, not a GitHub noreply address",1,1
R07,U375,unknown,"no bot marker, not a GitHub noreply address",1,1
R08,U381,unknown,"no bot marker, not a GitHub noreply address",94,14
R08,U382,unknown,"no bot marker, not a GitHub noreply address",29,13
R08,B02,bot,AI coding tool identity,1,1
R09,U400,unknown,"no bot marker, not a GitHub noreply address",17,9
