repo,grouping,value,additions,deletions,file_changes,share_of_changed_lines
R00,directory,src,4934,1165,144,0.441
R00,directory,tests,5089,800,98,0.426
R00,directory,docs,983,133,20,0.081
R00,directory,(root),444,239,12,0.049
R00,directory,.github,0,34,2,0.002
R00,extension,.py,10026,1968,243,0.867
R00,extension,.md,1130,313,24,0.104
R00,extension,.lock,291,54,3,0.025
R00,extension,.yml,3,34,4,0.003
R00,extension,.toml,3,5,3,0.001
R01,directory,AgentCrew,9922,4708,353,0.565
R01,directory,(root),5082,4262,51,0.361
R01,directory,tests,1175,362,15,0.059
R01,directory,examples,0,296,1,0.011
R01,directory,docker,57,39,27,0.004
R01,extension,.py,11097,5070,368,0.624
R01,extension,.lock,4903,4132,20,0.349
R01,extension,.toml,50,347,46,0.015
R01,extension,.md,155,106,10,0.01
R01,extension,(none),31,12,3,0.002
R02,directory,docs,11299,941,58,0.344
R02,directory,src,6127,3079,135,0.259
R02,directory,frontend,5067,2718,160,0.219
R02,directory,tests,3813,1014,66,0.136
R02,directory,(root),386,294,5,0.019
R02,extension,.py,9929,4106,201,0.395
R02,extension,.md,11304,952,64,0.345
R02,extension,.tsx,4058,2261,127,0.178
R02,extension,.ts,856,437,28,0.036
R02,extension,.lock,382,293,1,0.019
R03,directory,tests,1876,167,22,0.454
R03,directory,src,1296,403,21,0.377
R03,directory,(root),455,297,12,0.167
R03,directory,docker,10,0,1,0.002
R03,extension,.py,3149,570,40,0.826
R03,extension,.lock,295,283,3,0.128
R03,extension,.md,98,9,3,0.024
R03,extension,(none),57,0,2,0.013
R03,extension,.lean,23,0,3,0.005
R04,directory,(root),3307,32,24,1.0
R04,extension,.py,1886,15,8,0.569
R04,extension,.lock,1265,6,2,0.381
R04,extension,.md,63,0,2,0.019
R04,extension,.toml,51,10,5,0.018
R04,extension,(none),32,0,5,0.01
R05,directory,src,12243,4027,441,0.385
R05,directory,test,8154,2420,422,0.25
R05,directory,docs,7215,2841,131,0.238
R05,directory,(root),1818,1633,162,0.082
R05,directory,scripts,1200,23,21,0.029
R05,extension,.py,19800,5688,769,0.602
R05,extension,.md,7733,3446,218,0.264
R05,extension,.lock,1112,978,22,0.049
R05,extension,.yml,772,218,65,0.023
R05,extension,.html,428,221,45,0.015
R06,directory,landing,5521540,5496957,17108,0.71
R06,directory,src,1914335,1833739,6448,0.241
R06,directory,blog,159321,113071,3391,0.018
R06,directory,ui,82903,32661,639,0.007
R06,directory,experiments,52582,34010,1132,0.006
R06,extension,.json,7086110,7004851,17031,0.907
R06,extension,.py,437613,298593,7292,0.047
R06,extension,.md,158180,116518,2449,0.018
R06,extension,.svg,68484,51114,2127,0.008
R06,extension,.svelte,65355,41185,765,0.007
R07,directory,tests,18135,1941,198,0.602
R07,directory,vibe,9999,2242,240,0.367
R07,directory,(root),485,161,38,0.019
R07,directory,.github,130,63,5,0.006
R07,directory,distribution,63,63,9,0.004
R07,extension,.py,21748,3023,380,0.743
R07,extension,.svg,6192,1104,46,0.219
R07,extension,.md,291,91,25,0.011
R07,extension,.lock,199,100,9,0.009
R07,extension,.yml,131,64,6,0.006
R08,directory,packages,48941,19047,1272,0.539
R08,directory,docs,53105,451,935,0.425
R08,directory,infra,1007,2592,75,0.029
R08,directory,tests,309,30,3,0.003
R08,directory,.claude,253,0,2,0.002
R08,extension,.py,41355,18391,1169,0.474
R08,extension,.md,25344,1008,367,0.209
R08,extension,.json,19799,296,35,0.159
R08,extension,.mdx,6490,0,52,0.051
R08,extension,.ts,4862,262,40,0.041
R09,directory,jesse,1966,313,46,0.942
R09,directory,(root),133,7,9,0.058
R09,extension,.py,1969,312,47,0.943
R09,extension,.sh,95,2,2,0.04
R09,extension,.md,26,0,1,0.011
R09,extension,.html,6,6,3,0.005
R09,extension,.in,2,0,1,0.001
