repo,package,version,project,provenance
R00,mcp,1.27.0,github.com/modelcontextprotocol/python-sdk,UNVERIFIED_METADATA
R00,mcp,1.27.0,github.com/modelcontextprotocol/python-sdk,PYPI_PUBLISH_ATTESTATION
R01,agentcrew-ai,0.13.0,github.com/saigontechnology/agentcrew,UNVERIFIED_METADATA
R02,databricks-tellr-app,0.2.7,github.com/robertwhiffin/ai-slide-generator,PYPI_PUBLISH_ATTESTATION
R03,lean-lsp-mcp,0.26.1,github.com/ooo0ooo/lean-lsp-mcp,UNVERIFIED_METADATA
R04,pyp6xer-mcp,1.1.0,gitlab.com/(account withheld)/pyp6xer-mcp,UNVERIFIED_METADATA
R05,serena-agent,1.1.2,github.com/oraios/serena,UNVERIFIED_METADATA
R06,dartlab,0.9.19,github.com/eddmpython/dartlab,UNVERIFIED_METADATA
R06,dartlab,0.9.19,github.com/eddmpython/dartlab,PYPI_PUBLISH_ATTESTATION
R07,mistral-vibe,2.8.1,github.com/mistralai/mistral-vibe,UNVERIFIED_METADATA
R07,mistral-vibe,2.8.1,github.com/mistralai/mistral-vibe,PYPI_PUBLISH_ATTESTATION
R08,octobot,2.1.1,github.com/drakkar-software/octobot,UNVERIFIED_METADATA
R09,jesse,1.13.11,github.com/jesse-ai/jesse,UNVERIFIED_METADATA
