repo,commit,committed,author_class,author_subclass,file,packages_moved,mcp_before,mcp_after
R00,d5b9155f14,2026-03-31T17:11:12-04:00,bot,dependency-update bot,uv.lock,1,,
R00,37891f42a4,2026-03-31T20:33:33+00:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,13,,
R00,8f806da611,2026-04-12T12:48:13+00:00,bot,dependency-update bot,uv.lock,1,,
R01,e7dafccff4,2026-03-26T22:25:00+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,0,1.25.0,1.25.0
R01,85f57ef1bb,2026-03-26T22:53:51+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.25.0,1.25.0
R01,f1984d9be2,2026-03-27T09:31:03+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,333,1.25.0,1.26.0
R01,70220ef6c5,2026-03-27T11:44:15+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,5,1.26.0,1.26.0
R01,ef04b90de5,2026-03-27T13:57:50+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,e03b732cf3,2026-03-27T23:17:27+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,5,1.26.0,1.26.0
R01,4513f7022e,2026-03-31T22:51:51+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,bc17243f96,2026-04-02T11:35:35+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,a7be87b65e,2026-04-02T22:47:32+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,0,1.26.0,1.26.0
R01,aa64551a31,2026-04-12T22:08:22+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,591cb7f6c3,2026-04-12T22:51:33+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,5b55b6a122,2026-04-13T13:04:30+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,6c1645226a,2026-04-13T14:55:05+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,77f2a317ae,2026-04-14T15:32:03+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,0f53e45573,2026-04-15T11:44:56+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,be9c028755,2026-04-15T21:54:24+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,9e3b6b7e25,2026-04-17T21:39:39+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,8a8ae0d378,2026-04-20T23:08:33+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,42f6d4232f,2026-04-21T11:25:01+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R01,2a39106ae5,2026-04-21T22:43:08+07:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R02,380974f3e0,2026-04-23T00:02:10+01:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,5,,1.27.0
R03,6eda487de0,2026-04-08T19:00:46+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,2,1.26.0,1.26.0
R03,35601f7b30,2026-04-08T20:26:34+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.27.0
R03,3c92e55fc5,2026-04-09T09:10:04+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,26,1.27.0,1.27.0
R04,9e7430aef2,2026-04-14T01:09:17+01:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.27.0,1.27.0
R05,52a42232ca,2026-03-27T09:53:04+01:00,bot,dependency-update bot,uv.lock,1,1.26.0,1.26.0
R05,fe6aca4de5,2026-03-27T16:56:08+01:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,67,1.26.0,1.26.0
R05,b5cf58372d,2026-03-29T02:00:19+00:00,bot,dependency-update bot,uv.lock,1,1.26.0,1.26.0
R05,e53e487cae,2026-03-31T11:27:11+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,0,1.26.0,1.26.0
R05,823d5bbe30,2026-04-01T09:03:00+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R05,15f1db02d4,2026-04-01T15:07:56+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,0,1.26.0,1.26.0
R05,d9b278c357,2026-04-01T15:09:08+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,0,1.26.0,1.26.0
