repo,commit,committed,author_class,author_subclass,file,section,package,change,before,after,packages_changed_in_commit,message_class
R00,37891f42a4,2026-03-31T20:33:33+00:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,group:dev,logfire,added,,>=3.0.0,2,other
R00,37891f42a4,2026-03-31T20:33:33+00:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,opentelemetry-api,added,,>=1.28.0,2,other
R01,e7dafccff4,2026-03-26T22:25:00+07:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,tree-sitter-language-pack,changed,>=0.10.0,">=0.10.0,<1.0.0",1,dependency-update wording
R01,85f57ef1bb,2026-03-26T22:53:51+07:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,groq,removed,>=0.18.0,,1,dependency-update wording
R01,70220ef6c5,2026-03-27T11:44:15+07:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,together,added,,>=2.5.0,1,other
R01,e03b732cf3,2026-03-27T23:17:27+07:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,tree-sitter-language-pack,changed,">=0.10.0,<1.0.0",">=1.3.3,<2.0.0",1,dependency-update wording
R01,a7be87b65e,2026-04-02T22:47:32+07:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,html-to-markdown,changed,>=2.9.1,">=2.9.1,<3.0.0",1,dependency-update wording
R01,8a8ae0d378,2026-04-20T23:08:33+07:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,a2a-sdk,changed,>=0.3.10,">=0.3.10,<1.0.0",1,other
R02,b2686c3dd3,2026-03-30T20:47:59+01:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,databricks-mcp,added,,>=0.1.0,2,dependency-update wording
R02,b2686c3dd3,2026-03-30T20:47:59+01:00,unknown,"no bot marker, not a GitHub noreply address",requirements.txt,req,databricks-mcp,added,,>=0.1.0,2,dependency-update wording
R02,380974f3e0,2026-04-23T00:02:10+01:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,mcp,added,,>=1.0.0,1,dependency-update wording
R03,6eda487de0,2026-04-08T19:00:46+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,leanclient,changed,==0.9.3,==0.9.4,1,dependency-update wording
R03,35601f7b30,2026-04-08T20:26:34+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,mcp,changed,==1.26.0,==1.27.0,1,dependency-update wording
R04,9e7430aef2,2026-04-14T01:09:17+01:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,fastmcp,changed,>=3.0.0,==3.2.3,5,dependency-update wording
R04,9e7430aef2,2026-04-14T01:09:17+01:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,httpx,changed,>=0.28.1,==0.28.1,5,dependency-update wording
R04,9e7430aef2,2026-04-14T01:09:17+01:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,mcp,added,,==1.27.0,5,dependency-update wording
R04,9e7430aef2,2026-04-14T01:09:17+01:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,pydantic,added,,==2.12.5,5,dependency-update wording
R04,9e7430aef2,2026-04-14T01:09:17+01:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,xerparser,changed,>=0.13.9,==0.13.9,5,dependency-update wording
R05,52a42232ca,2026-03-27T09:53:04+01:00,bot,dependency-update bot,pyproject.toml,project,requests,changed,==2.32.5,==2.33.0,1,dependency-update wording
R05,fe6aca4de5,2026-03-27T16:56:08+01:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,regex,added,,==2026.2.28,1,other
R05,b5cf58372d,2026-03-29T02:00:19+00:00,bot,dependency-update bot,pyproject.toml,project,cryptography,changed,==46.0.5,==46.0.6,1,dependency-update wording
R05,e53e487cae,2026-03-31T11:27:11+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,pystray,changed,>=0.19.5,==0.19.5,1,other
R05,823d5bbe30,2026-04-01T09:03:00+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,extra:dev,pyjwt,changed,==2.10.1,==2.12.0,1,dependency-update wording
R05,15f1db02d4,2026-04-01T15:07:56+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,pythonnet,added,,==3.1.0-rc0,1,dependency-update wording
R05,d9b278c357,2026-04-01T15:09:08+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,pythonnet,added,,==3.1.0-rc0,1,dependency-update wording
R05,cd1ce8dc60,2026-04-07T01:54:03+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,extra:dev,sphinx-book-theme,added,,==1.1.4,1,release wording
R05,0ea7a46593,2026-04-07T13:53:36+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,extra:dev,sphinx-book-theme,added,,==1.1.4,1,release wording
R05,a0519d183d,2026-04-08T22:58:26+00:00,bot,dependency-update bot,pyproject.toml,project,cryptography,changed,==46.0.6,==46.0.7,1,dependency-update wording
R05,d572f48e4c,2026-04-10T17:20:33+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,oraios-pywebview,added,,==6.2,2,release wording
R05,d572f48e4c,2026-04-10T17:20:33+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,pywebview,removed,,,2,release wording
R05,ab67ecab3b,2026-04-13T08:47:51+02:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,lsprotocol,added,,==2025.0.0,2,dependency-update wording
R05,ab67ecab3b,2026-04-13T08:47:51+02:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,pygls,added,,==2.1.1,2,dependency-update wording
R05,a2061c1f4e,2026-04-15T13:35:01+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,oraios-pywebview,removed,==6.2,,2,release wording
R05,a2061c1f4e,2026-04-15T13:35:01+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,project,pywebview,added,,==6.2,2,release wording
R05,8691ae3046,2026-04-15T21:21:13+00:00,bot,dependency-update bot,pyproject.toml,project,python-multipart,changed,==0.0.22,==0.0.26,1,dependency-update wording
R05,8ebe6322f2,2026-04-21T18:12:38+00:00,bot,dependency-update bot,pyproject.toml,extra:dev,nbconvert,changed,==7.17.0,==7.17.1,1,dependency-update wording
R05,91977532fd,2026-04-22T00:49:41+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,extra:dev,nbconvert,removed,==7.17.1,,2,dependency-update wording
R05,91977532fd,2026-04-22T00:49:41+02:00,unknown,"no bot marker, not a GitHub noreply address",pyproject.toml,extra:dev,nbsphinx,removed,==0.9.7,,2,dependency-update wording
R06,36e21d88d6,2026-03-27T01:42:01+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,extra:all,plotly,removed,">=5.0.0,<6",,5,other
R06,36e21d88d6,2026-03-27T01:42:01+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,extra:all,yfinance,removed,">=0.2.30,<1",,5,other
R06,36e21d88d6,2026-03-27T01:42:01+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,extra:charts,plotly,removed,">=5.0.0,<6",,5,other
R06,36e21d88d6,2026-03-27T01:42:01+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,extra:event,yfinance,removed,">=0.2.30,<1",,5,other
R06,36e21d88d6,2026-03-27T01:42:01+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,plotly,added,,">=5.0.0,<6",5,other
R06,2bf5058916,2026-03-27T09:57:00+09:00,human account,"GitHub noreply address, not marked as bot",spaces/requirements.txt,req,gradio,changed,">=5.0,<6",">=6.0,<7",1,other
R06,029f8ff3ab,2026-03-27T11:03:34+09:00,human account,"GitHub noreply address, not marked as bot",spaces/requirements.txt,req,gradio,removed,">=6.0,<7",,2,other
R06,029f8ff3ab,2026-03-27T11:03:34+09:00,human account,"GitHub noreply address, not marked as bot",spaces/requirements.txt,req,streamlit,added,,">=1.45,<2",2,other
R06,c9d6848bd9,2026-03-27T11:20:54+09:00,human account,"GitHub noreply address, not marked as bot",spaces/requirements.txt,req,openpyxl,added,,>=3.1,1,other
R06,10fa04d892,2026-03-27T11:22:19+09:00,human account,"GitHub noreply address, not marked as bot",spaces/requirements.txt,req,huggingface-hub,added,,>=0.25,1,other
R06,b247a99f45,2026-03-27T13:57:42+09:00,human account,"GitHub noreply address, not marked as bot",pyproject.toml,project,prompt-toolkit,added,,">=3.0,<4",1,other
