repo,commit,committed_utc,change,file,before,after,after_release,lag_hours_from_release,latest_stable_mcp_at_commit,candidate_link,author_class,author_subclass,test_dependency_update_bot,message_class,packages_changed_same_commit,own_pypi_release_next,test_shared_maintainer_with_library
R01,f1984d9be2,2026-03-27T02:31:03+00:00,lockfile mcp moved,uv.lock,1.25.0,1.26.0,False,,1.26.0,no,unknown,"no bot marker, not a GitHub noreply address",not a bot author,not classed (no manifest change),333,0.12.0 after 4.5 h,no
R06,8b3eb28290,2026-03-27T12:47:26+00:00,manifest mcp removed,pyproject.toml,">=1.0,<2",,False,,1.26.0,no,human account,"GitHub noreply address, not marked as bot",not a bot author,dependency-update wording,54,0.7.12 after 21.3 h,no
R06,be37845154,2026-04-01T07:47:53+00:00,manifest mcp added,pyproject.toml,,>=1.0,False,,1.26.0,no,human account,"GitHub noreply address, not marked as bot",not a bot author,other,21,0.8.1 after 3.5 h,no
R06,be37845154,2026-04-01T07:47:53+00:00,manifest mcp removed,pyproject.toml,>=1.0,,False,,1.26.0,no,human account,"GitHub noreply address, not marked as bot",not a bot author,other,21,0.8.1 after 3.5 h,no
R06,6514cd32ef,2026-04-01T08:06:47+00:00,manifest mcp removed,pyproject.toml,>=1.0,,False,,1.26.0,no,human account,"GitHub noreply address, not marked as bot",not a bot author,other,19,0.8.1 after 3.2 h,no
R06,6514cd32ef,2026-04-01T08:06:47+00:00,manifest mcp added,pyproject.toml,,>=1.0,False,,1.26.0,no,human account,"GitHub noreply address, not marked as bot",not a bot author,other,19,0.8.1 after 3.2 h,no
R03,35601f7b30,2026-04-08T18:26:34+00:00,manifest mcp changed,pyproject.toml,==1.26.0,==1.27.0,True,147.6,1.27.0,yes,unknown,"no bot marker, not a GitHub noreply address",not a bot author,dependency-update wording,1,0.26.0 after 0.4 h,no
R03,35601f7b30,2026-04-08T18:26:34+00:00,lockfile mcp moved,uv.lock,1.26.0,1.27.0,True,147.6,1.27.0,yes,unknown,"no bot marker, not a GitHub noreply address",not a bot author,dependency-update wording,1,0.26.0 after 0.4 h,no
R06,454efcc9c6,2026-04-09T15:20:03+00:00,manifest mcp removed,pyproject.toml,>=1.0,,True,168.5,1.27.0,no,human account,"GitHub noreply address, not marked as bot",not a bot author,dependency-update wording,15,0.9.6 after 7.6 h,no
R06,454efcc9c6,2026-04-09T15:20:03+00:00,manifest mcp added,pyproject.toml,,>=1.0,True,168.5,1.27.0,no,human account,"GitHub noreply address, not marked as bot",not a bot author,dependency-update wording,15,0.9.6 after 7.6 h,no
R06,3b4fa3d1b0,2026-04-13T13:57:18+00:00,lockfile mcp moved,uv.lock,1.26.0,1.27.0,True,263.2,1.27.0,yes,human account,"GitHub noreply address, not marked as bot",not a bot author,other,23,0.9.11 after 0.5 h,no
R04,9e7430aef2,2026-04-14T00:09:17+00:00,manifest mcp added,pyproject.toml,,==1.27.0,True,273.4,1.27.0,yes,unknown,"no bot marker, not a GitHub noreply address",not a bot author,dependency-update wording,5,none in window,no
R02,380974f3e0,2026-04-22T23:02:10+00:00,manifest mcp added,pyproject.toml,,>=1.0.0,True,488.2,1.27.0,no,unknown,"no bot marker, not a GitHub noreply address",not a bot author,dependency-update wording,1,none in window,no
R02,380974f3e0,2026-04-22T23:02:10+00:00,lockfile mcp moved,uv.lock,,1.27.0,True,488.2,1.27.0,yes,unknown,"no bot marker, not a GitHub noreply address",not a bot author,dependency-update wording,5,none in window,no
R04,2588048fe7,2026-04-04T16:20:04+00:00,first commit on GitHub; lockfile already holds mcp,uv.lock,(no earlier history on GitHub),1.27.0,True,49.5,1.27.0,"uptake visible, change not visible",unknown,"no bot marker, not a GitHub noreply address",not a bot author,,whole repository,none in window,no
