repo,package,version,published
R00,mcp,1.27.0,2026-04-02T14:48:07Z
R01,agentcrew-ai,0.12.0,2026-03-27T06:59:15Z
R01,agentcrew-ai,0.12.1,2026-03-27T16:18:03Z
R01,agentcrew-ai,0.12.2,2026-03-31T15:52:48Z
R01,agentcrew-ai,0.12.3,2026-04-02T04:36:11Z
R01,agentcrew-ai,0.12.4,2026-04-12T15:08:58Z
R01,agentcrew-ai,0.12.5,2026-04-12T15:52:09Z
R01,agentcrew-ai,0.12.6,2026-04-13T06:05:11Z
R01,agentcrew-ai,0.12.7,2026-04-13T07:55:48Z
R01,agentcrew-ai,0.12.8,2026-04-14T08:32:54Z
R01,agentcrew-ai,0.12.9,2026-04-15T04:45:41Z
R01,agentcrew-ai,0.12.10,2026-04-15T14:56:27Z
R01,agentcrew-ai,0.12.11,2026-04-17T08:21:36Z
R01,agentcrew-ai,0.12.12,2026-04-20T16:09:14Z
R01,agentcrew-ai,0.12.13,2026-04-21T04:25:39Z
R01,agentcrew-ai,0.12.14,2026-04-21T08:09:12Z
R01,agentcrew-ai,0.12.15,2026-04-21T15:43:45Z
R01,agentcrew-ai,0.13.0,2026-04-22T16:28:38Z
R03,lean-lsp-mcp,0.26.0,2026-04-08T18:49:02Z
R03,lean-lsp-mcp,0.26.1,2026-04-10T14:52:14Z
R04,pyp6xer-mcp,1.1.0,2026-03-26T06:01:38Z
R05,serena-agent,1.0.0,2026-04-03T14:21:52Z
R05,serena-agent,1.1.0,2026-04-11T13:31:39Z
R05,serena-agent,1.1.1,2026-04-12T12:09:32Z
R05,serena-agent,1.1.2,2026-04-14T15:48:02Z
R06,dartlab,0.7.10,2026-03-26T17:25:51Z
R06,dartlab,0.7.12,2026-03-28T10:07:06Z
R06,dartlab,0.7.13,2026-03-29T14:37:38Z
R06,dartlab,0.7.14,2026-03-30T02:35:04Z
R06,dartlab,0.7.15,2026-03-30T12:42:48Z
R06,dartlab,0.7.16,2026-03-31T10:49:11Z
R06,dartlab,0.8.0,2026-04-01T06:19:10Z
R06,dartlab,0.8.1,2026-04-01T11:18:29Z
R06,dartlab,0.8.2,2026-04-01T17:53:47Z
R06,dartlab,0.8.3,2026-04-02T05:43:28Z
R06,dartlab,0.8.4,2026-04-02T09:50:16Z
R06,dartlab,0.8.5,2026-04-02T18:44:29Z
R06,dartlab,0.8.6,2026-04-02T23:47:35Z
R06,dartlab,0.8.7,2026-04-03T01:33:27Z
R06,dartlab,0.8.8,2026-04-03T21:38:46Z
R06,dartlab,0.8.9,2026-04-04T05:46:07Z
R06,dartlab,0.9.0,2026-04-04T12:25:21Z
R06,dartlab,0.9.1,2026-04-05T23:06:15Z
R06,dartlab,0.9.2,2026-04-06T18:56:12Z
R06,dartlab,0.9.3,2026-04-08T17:58:33Z
R06,dartlab,0.9.4,2026-04-08T23:55:50Z
R06,dartlab,0.9.5,2026-04-09T00:13:24Z
R06,dartlab,0.9.6,2026-04-09T22:55:30Z
R06,dartlab,0.9.7,2026-04-10T22:12:32Z
R06,dartlab,0.9.8,2026-04-12T03:25:26Z
R06,dartlab,0.9.9,2026-04-12T23:41:07Z
R06,dartlab,0.9.10,2026-04-13T05:58:55Z
R06,dartlab,0.9.11,2026-04-13T14:27:53Z
R06,dartlab,0.9.12,2026-04-14T21:52:00Z
R06,dartlab,0.9.13,2026-04-15T09:52:03Z
R06,dartlab,0.9.15,2026-04-17T15:41:41Z
R06,dartlab,0.9.16,2026-04-19T22:12:01Z
R06,dartlab,0.9.17,2026-04-19T22:49:09Z
R06,dartlab,0.9.18,2026-04-21T05:19:35Z
R06,dartlab,0.9.19,2026-04-22T01:40:01Z
R07,mistral-vibe,2.7.0,2026-03-26T09:19:09Z
R07,mistral-vibe,2.7.1,2026-03-31T14:30:48Z
R07,mistral-vibe,2.7.2,2026-04-01T16:41:25Z
R07,mistral-vibe,2.7.3,2026-04-03T14:03:47Z
R07,mistral-vibe,2.7.4,2026-04-09T16:42:05Z
R07,mistral-vibe,2.7.5,2026-04-14T08:34:50Z
R07,mistral-vibe,2.7.6,2026-04-16T09:17:04Z
R07,mistral-vibe,2.8.0,2026-04-21T13:21:28Z
R07,mistral-vibe,2.8.1,2026-04-21T14:35:15Z
R08,octobot,2.1.1,2026-03-29T15:25:05Z
R09,jesse,1.13.8,2026-03-28T15:15:45Z
R09,jesse,1.13.9,2026-04-06T14:49:27Z
R09,jesse,1.13.10,2026-04-07T11:25:28Z
R09,jesse,1.13.11,2026-04-09T18:10:14Z
