repo,date,status,commits,commits_default_branch,merge_commits,commits_bot,commits_human_account,commits_unknown,commits_with_ai_tool_trailer,additions_other,deletions_other,additions_lock,deletions_lock,additions_vendored,deletions_vendored,binary_file_changes,manifest_dependency_changes,mcp_requirement_changes,lockfile_package_changes,lockfile_mcp_changes,authors_bot,authors_human_account,authors_unknown
R00,2026-03-26,observed,32,0,0,0,32,0,0,3129,525,0,0,0,0,0,0,0,0,0,0,1,0
R00,2026-03-27,observed,17,2,0,0,17,0,0,898,465,0,0,0,0,0,0,0,0,0,0,1,0
R00,2026-03-28,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-03-29,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-03-30,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-03-31,observed,4,4,0,1,1,2,0,616,190,240,3,0,0,0,2,0,14,0,1,1,1
R00,2026-04-01,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-02,observed,3,0,0,0,0,3,0,200,145,0,0,0,0,0,0,0,0,0,0,0,1
R00,2026-04-03,observed,6,0,0,0,0,6,0,893,82,0,0,0,0,0,0,0,0,0,0,0,1
R00,2026-04-04,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-05,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-06,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-07,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-08,observed,1,1,0,0,0,1,0,50,22,0,0,0,0,0,0,0,0,0,0,0,1
R00,2026-04-09,observed,1,1,0,0,1,0,0,235,5,0,0,0,0,0,0,0,0,0,0,1,0
R00,2026-04-10,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-11,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-12,observed,2,2,0,1,1,0,0,170,185,51,51,0,0,0,0,0,1,0,1,1,0
R00,2026-04-13,observed,5,3,0,0,5,0,0,360,183,0,0,0,0,0,0,0,0,0,0,2,0
R00,2026-04-14,observed,2,2,0,0,0,2,1,447,66,0,0,0,0,0,0,0,0,0,0,0,2
R00,2026-04-15,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-16,observed,16,0,0,0,16,0,0,3380,369,0,0,0,0,0,0,0,0,0,0,1,0
R00,2026-04-17,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-18,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-19,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-20,observed,5,0,0,0,5,0,0,662,81,0,0,0,0,0,0,0,0,0,0,1,0
R00,2026-04-21,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R00,2026-04-22,observed,1,0,0,0,1,0,0,122,2,0,0,0,0,0,0,0,0,0,0,1,0
R01,2026-03-26,observed,6,6,0,0,0,6,0,196,900,1,20,0,0,0,2,0,1,0,0,0,1
R01,2026-03-27,observed,7,7,0,0,0,7,0,2159,344,4842,4052,0,0,0,2,0,344,1,0,0,1
R01,2026-03-28,observed,1,1,0,0,0,1,0,553,325,0,0,0,0,0,0,0,0,0,0,0,1
R01,2026-03-29,observed,1,0,0,0,0,1,0,191,3,0,0,0,0,0,0,0,0,0,0,0,1
R01,2026-03-30,observed,1,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1
R01,2026-03-31,observed,2,2,0,0,0,2,0,972,414,1,1,0,0,0,0,0,1,0,0,0,1
R01,2026-04-01,observed,6,6,0,0,0,6,0,166,159,0,0,0,0,0,0,0,0,0,0,0,1
R01,2026-04-02,observed,3,3,0,0,0,3,0,638,434,2,2,0,0,0,1,0,1,0,0,0,1
R01,2026-04-03,observed,2,2,0,0,0,2,0,45,3,0,0,0,0,0,0,0,0,0,0,0,1
R01,2026-04-04,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,2026-04-05,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,2026-04-06,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,2026-04-07,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,2026-04-08,observed,1,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1
R01,2026-04-09,observed,1,1,0,0,0,1,0,387,35,0,0,0,0,0,0,0,0,0,0,0,1
R01,2026-04-10,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,2026-04-11,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,2026-04-12,observed,6,6,0,0,0,6,0,1956,101,47,47,0,0,0,0,0,2,0,0,0,1
R01,2026-04-13,observed,12,12,0,0,0,12,0,764,361,2,2,0,0,0,0,0,2,0,0,0,1
R01,2026-04-14,observed,3,3,0,0,0,3,0,380,152,1,1,0,0,0,0,0,1,0,0,0,1
R01,2026-04-15,observed,11,11,0,0,0,11,0,750,342,2,2,0,0,0,0,0,2,0,0,0,1
R01,2026-04-16,observed,3,3,0,0,0,3,0,416,347,0,0,0,0,0,0,0,0,0,0,0,1
R01,2026-04-17,observed,11,11,0,0,0,11,0,244,232,1,1,0,0,0,0,0,1,0,0,0,1
R01,2026-04-18,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,2026-04-19,observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01,2026-04-20,observed,7,7,0,0,0,7,0,590,267,2,2,0,0,0,1,0,1,0,0,0,1
R01,2026-04-21,observed,7,7,0,0,0,7,0,702,340,2,2,0,0,0,0,0,2,0,0,0,1
R01,2026-04-22,observed,6,6,0,0,0,6,0,220,776,0,0,0,0,0,0,0,0,0,0,0,1
