repo,first_commit,commits_in_history,observed_days,active_days,commits,commits_by_author_date,commits_per_observed_day,additions_other,deletions_other,additions_lock,deletions_lock,additions_vendored,commits_bot,commits_human_account,commits_unknown,authors_bot,authors_human_account,authors_unknown,commits_with_ai_tool_trailer,tags,manifest_dependency_changes,lockfile_mcp_changes
R00,2024-09-24,1677,28,13,95,98,3.39,11162,2320,291,54,0,2,79,14,1,3,3,1,0,2,0
R01,2025-02-18,1661,28,20,97,97,3.46,11338,5538,4903,4132,0,0,0,97,0,0,2,0,17,6,1
R02,2025-11-05,1944,28,13,210,211,7.5,26895,7832,513,311,0,0,23,187,0,4,7,0,0,3,1
R03,2025-03-29,675,28,3,26,26,0.93,3342,584,295,283,0,0,0,26,0,0,2,2,2,2,1
R04,2026-04-04,50,19,5,13,13,0.68,2042,26,1265,6,0,0,0,13,0,0,2,9,0,5,0
R05,2025-03-23,3881,28,28,435,414,15.54,30104,10119,1112,978,0,9,42,384,3,6,15,6,4,20,0
R06,2026-03-06,7726,28,28,1482,1482,52.93,7865885,7579111,49027,33263,0,1,1481,0,1,2,0,0,50,180,1
R07,2025-12-09,152,28,8,9,9,0.32,28670,4391,199,100,0,0,0,9,0,0,4,0,9,7,0
R08,2018-02-23,6358,28,16,124,110,4.43,84313,22192,19600,1,0,1,0,123,1,0,2,6,1,8,0
R09,2020-04-07,3602,28,9,17,17,0.61,2099,320,0,0,0,0,0,17,0,0,1,0,0,1,0
