repo,tag,created,tag_object
R01,v0.12.0,2026-03-27T06:57:50+00:00,commit
R01,v0.12.1,2026-03-27T16:17:27+00:00,commit
R01,v0.12.10,2026-04-15T14:54:24+00:00,commit
R01,v0.12.11,2026-04-17T08:21:02+00:00,commit
R01,v0.12.12,2026-04-20T16:08:33+00:00,commit
R01,v0.12.13,2026-04-21T04:25:01+00:00,commit
R01,v0.12.14,2026-04-21T08:08:34+00:00,commit
R01,v0.12.15,2026-04-21T15:43:08+00:00,commit
R01,v0.12.2,2026-03-31T15:51:51+00:00,commit
R01,v0.12.3,2026-04-02T04:35:35+00:00,commit
R01,v0.12.4,2026-04-12T15:08:22+00:00,commit
R01,v0.12.5,2026-04-12T15:51:33+00:00,commit
R01,v0.12.6,2026-04-13T06:04:30+00:00,commit
R01,v0.12.7,2026-04-13T07:55:05+00:00,commit
R01,v0.12.8,2026-04-14T08:32:03+00:00,commit
R01,v0.12.9,2026-04-15T04:44:56+00:00,commit
R01,v0.13.0,2026-04-22T16:27:13+00:00,commit
R03,v0.26.0,2026-04-08T18:52:56+00:00,tag
R03,v0.26.1,2026-04-10T15:07:15+00:00,tag
R05,v1.0.0,2026-04-03T14:17:39+00:00,commit
R05,v1.1.0,2026-04-11T13:30:58+00:00,commit
R05,v1.1.1,2026-04-12T12:08:37+00:00,commit
R05,v1.1.2,2026-04-14T15:46:53+00:00,commit
R06,data-finance,2026-03-28T16:59:50+00:00,commit
R06,data-report,2026-03-28T16:59:50+00:00,commit
R06,v0.7.10,2026-03-26T17:09:54+00:00,commit
R06,v0.7.12,2026-03-28T09:58:11+00:00,commit
R06,v0.7.13,2026-03-29T14:37:35+00:00,commit
R06,v0.7.14,2026-03-30T02:25:41+00:00,commit
R06,v0.7.15,2026-03-30T12:44:16+00:00,commit
R06,v0.7.16,2026-03-31T10:32:46+00:00,commit
R06,v0.8.0,2026-04-01T06:01:35+00:00,commit
R06,v0.8.1,2026-04-01T11:11:09+00:00,commit
R06,v0.8.2,2026-04-01T17:38:12+00:00,commit
R06,v0.8.3,2026-04-02T05:27:05+00:00,commit
R06,v0.8.4,2026-04-02T09:24:00+00:00,commit
R06,v0.8.5,2026-04-02T18:16:38+00:00,commit
R06,v0.8.6,2026-04-02T23:20:41+00:00,commit
R06,v0.8.7,2026-04-03T01:00:20+00:00,commit
R06,v0.8.8,2026-04-03T21:13:27+00:00,commit
R06,v0.8.9,2026-04-04T05:20:15+00:00,commit
R06,v0.9.0,2026-04-04T12:00:16+00:00,commit
R06,v0.9.1,2026-04-05T22:41:17+00:00,commit
R06,v0.9.10,2026-04-13T05:43:16+00:00,commit
R06,v0.9.11,2026-04-13T14:14:17+00:00,commit
R06,v0.9.12,2026-04-14T21:39:43+00:00,commit
R06,v0.9.13,2026-04-15T09:36:28+00:00,commit
R06,v0.9.14,2026-04-16T02:34:26+00:00,commit
R06,v0.9.15,2026-04-17T15:31:32+00:00,commit
R06,v0.9.16,2026-04-19T22:00:01+00:00,commit
R06,v0.9.17,2026-04-19T22:37:44+00:00,commit
R06,v0.9.18,2026-04-21T05:07:26+00:00,commit
R06,v0.9.19,2026-04-22T00:41:09+00:00,commit
R06,v0.9.2,2026-04-06T18:45:30+00:00,commit
R06,v0.9.3,2026-04-08T17:48:03+00:00,commit
R06,v0.9.5,2026-04-09T00:01:45+00:00,commit
R06,v0.9.6,2026-04-09T22:42:31+00:00,commit
R06,v0.9.7,2026-04-10T22:00:04+00:00,commit
R06,v0.9.8,2026-04-12T03:13:24+00:00,tag
R06,v0.9.9,2026-04-12T23:29:24+00:00,tag
R06,vsce-0.1.0,2026-04-01T13:37:37+00:00,commit
R06,vsce-0.1.1,2026-04-01T22:21:48+00:00,commit
R06,vsce-0.1.3,2026-04-02T12:55:04+00:00,commit
R06,vsce-0.1.4,2026-04-02T17:06:37+00:00,commit
R06,vsce-0.1.5,2026-04-02T17:26:33+00:00,commit
R06,vsce-0.1.6,2026-04-02T17:33:16+00:00,commit
R06,vsce-0.1.7,2026-04-02T17:44:32+00:00,commit
R06,vsce-0.1.8,2026-04-02T17:50:55+00:00,commit
R06,vsce-0.1.9,2026-04-02T17:55:08+00:00,commit
R06,vsce-0.2.0,2026-04-02T23:20:41+00:00,commit
R06,vsce-0.2.1,2026-04-03T01:00:20+00:00,commit
R06,vsce-0.2.2,2026-04-04T05:51:15+00:00,commit
R06,vsce-0.2.3,2026-04-06T18:45:30+00:00,commit
R07,v2.7.0,2026-03-26T09:11:34+00:00,commit
R07,v2.7.1,2026-03-31T14:28:55+00:00,commit
R07,v2.7.2,2026-04-01T16:38:22+00:00,commit
R07,v2.7.3,2026-04-03T13:56:50+00:00,commit
R07,v2.7.4,2026-04-09T16:40:46+00:00,commit
R07,v2.7.5,2026-04-14T08:33:15+00:00,commit
R07,v2.7.6,2026-04-16T09:10:26+00:00,commit
R07,v2.8.0,2026-04-21T13:19:59+00:00,commit
R07,v2.8.1,2026-04-21T14:33:50+00:00,commit
R08,2.1.1,2026-03-29T15:18:29+00:00,commit
