"date","version","installer","type","ci","downloads"
"2026-03-19","0.1.1","Browser","sdist","false",1
"2026-03-19","0.13.0","Browser","sdist","false",1
"2026-03-19","0.21.0","bandersnatch","bdist_wheel","false",1
"2026-03-19","0.21.0","bandersnatch","sdist","false",1
"2026-03-19","0.21.1","bandersnatch","bdist_wheel","false",1
"2026-03-19","0.21.1","bandersnatch","sdist","false",1
"2026-03-19","0.21.2","bandersnatch","bdist_wheel","false",1
"2026-03-19","0.21.2","bandersnatch","sdist","false",1
"2026-03-19","0.22.0","bandersnatch","bdist_wheel","false",1
"2026-03-19","0.22.0","bandersnatch","sdist","false",1
"2026-03-19","0.22.1","bandersnatch","bdist_wheel","false",1
"2026-03-19","0.22.1","bandersnatch","sdist","false",1
"2026-03-19","0.22.2","bandersnatch","bdist_wheel","false",1
"2026-03-19","0.22.2","bandersnatch","sdist","false",1
"2026-03-19","0.22.3","bandersnatch","bdist_wheel","false",1
"2026-03-19","0.22.3","bandersnatch","sdist","false",1
"2026-03-19","0.22.4","Nexus","bdist_wheel","false",1
"2026-03-19","0.22.4","Nexus","sdist","false",1
"2026-03-19","0.22.4","bandersnatch","bdist_wheel","false",1
"2026-03-19","0.22.4","bandersnatch","sdist","false",1
"2026-03-19","0.23.0","Nexus","bdist_wheel","false",1
"2026-03-19","0.23.0","Nexus","sdist","false",1
"2026-03-19","0.23.0","bandersnatch","bdist_wheel","false",3
"2026-03-19","0.23.0","bandersnatch","sdist","false",3
"2026-03-19","0.23.1","Nexus","bdist_wheel","false",1
"2026-03-19","0.23.1","Nexus","sdist","false",1
"2026-03-19","0.23.1","bandersnatch","bdist_wheel","false",4
"2026-03-19","0.23.1","bandersnatch","sdist","false",4
"2026-03-19","0.23.1","uv","bdist_wheel","false",2
"2026-03-19","0.23.2","Nexus","bdist_wheel","false",1
"2026-03-19","0.23.2","Nexus","sdist","false",1
"2026-03-19","0.23.2","bandersnatch","bdist_wheel","false",4
"2026-03-19","0.23.2","bandersnatch","sdist","false",4
"2026-03-19","0.24.0","","bdist_wheel","false",1
"2026-03-19","0.24.0","","sdist","false",1
"2026-03-19","0.24.0","Nexus","bdist_wheel","false",1
"2026-03-19","0.24.0","Nexus","sdist","false",1
"2026-03-19","0.24.0","bandersnatch","bdist_wheel","false",5
"2026-03-19","0.24.0","bandersnatch","sdist","false",5
"2026-03-19","0.25.0","","bdist_wheel","false",1
"2026-03-19","0.25.0","","sdist","false",3
"2026-03-19","0.25.0","Browser","bdist_wheel","false",3
"2026-03-19","0.25.0","Browser","sdist","false",3
"2026-03-19","0.25.0","Nexus","bdist_wheel","false",1
"2026-03-19","0.25.0","Nexus","sdist","false",1
"2026-03-19","0.25.0","bandersnatch","bdist_wheel","false",10
"2026-03-19","0.25.0","bandersnatch","sdist","false",10
"2026-03-19","0.25.1","","bdist_wheel","false",2
"2026-03-19","0.25.1","","sdist","false",4
"2026-03-19","0.25.1","Browser","bdist_wheel","false",4
"2026-03-19","0.25.1","Browser","sdist","false",3
"2026-03-19","0.25.1","Nexus","bdist_wheel","false",1
"2026-03-19","0.25.1","Nexus","sdist","false",1
"2026-03-19","0.25.1","bandersnatch","bdist_wheel","false",10
"2026-03-19","0.25.1","bandersnatch","sdist","false",10
"2026-03-19","0.25.1","pip","bdist_wheel","false",6
"2026-03-19","0.25.1","uv","bdist_wheel","false",262
"2026-03-20","0.0.1","Browser","bdist_wheel","false",1
"2026-03-20","0.1.1","Browser","bdist_wheel","false",1
"2026-03-20","0.1.2","Browser","bdist_wheel","false",1
"2026-03-20","0.1.3","Browser","bdist_wheel","false",1
"2026-03-20","0.1.4","Browser","bdist_wheel","false",1
"2026-03-20","0.1.5","Browser","bdist_wheel","false",1
"2026-03-20","0.1.8","Browser","bdist_wheel","false",1
"2026-03-20","0.10.0","Browser","bdist_wheel","false",1
"2026-03-20","0.10.1","Browser","bdist_wheel","false",1
"2026-03-20","0.10.2","Browser","bdist_wheel","false",1
"2026-03-20","0.11.0","Browser","bdist_wheel","false",1
"2026-03-20","0.11.1","Browser","bdist_wheel","false",1
"2026-03-20","0.11.2","Browser","bdist_wheel","false",1
"2026-03-20","0.11.3","Browser","bdist_wheel","false",1
"2026-03-20","0.12.1","Browser","bdist_wheel","false",1
"2026-03-20","0.13.2","Browser","bdist_wheel","false",1
"2026-03-20","0.14.0","Browser","bdist_wheel","false",1
"2026-03-20","0.15.0","Browser","bdist_wheel","false",1
"2026-03-20","0.16.0","Browser","bdist_wheel","false",1
"2026-03-20","0.16.1","Browser","bdist_wheel","false",1
"2026-03-20","0.17.0","Browser","bdist_wheel","false",1
"2026-03-20","0.17.2","Browser","bdist_wheel","false",1
"2026-03-20","0.18.0","Browser","bdist_wheel","false",1
"2026-03-20","0.19.2","Browser","bdist_wheel","false",1
"2026-03-20","0.2.0","Browser","bdist_wheel","false",1
"2026-03-20","0.20.0","Browser","bdist_wheel","false",1
"2026-03-20","0.20.0","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.20.0","bandersnatch","sdist","false",1
"2026-03-20","0.21.0","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.21.0","bandersnatch","sdist","false",1
"2026-03-20","0.21.1","Browser","bdist_wheel","false",1
"2026-03-20","0.21.1","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.21.1","bandersnatch","sdist","false",1
"2026-03-20","0.21.2","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.21.2","bandersnatch","sdist","false",1
"2026-03-20","0.22.0","Browser","bdist_wheel","false",1
"2026-03-20","0.22.0","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.22.0","bandersnatch","sdist","false",1
"2026-03-20","0.22.1","Browser","bdist_wheel","false",1
"2026-03-20","0.22.1","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.22.1","bandersnatch","sdist","false",1
"2026-03-20","0.22.2","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.22.2","bandersnatch","sdist","false",1
"2026-03-20","0.22.3","Browser","bdist_wheel","false",1
"2026-03-20","0.22.3","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.22.3","bandersnatch","sdist","false",1
"2026-03-20","0.22.4","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.22.4","bandersnatch","sdist","false",1
"2026-03-20","0.23.0","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.23.0","bandersnatch","sdist","false",1
"2026-03-20","0.23.1","Browser","bdist_wheel","false",1
"2026-03-20","0.23.1","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.23.1","bandersnatch","sdist","false",1
"2026-03-20","0.23.1","uv","bdist_wheel","false",12
"2026-03-20","0.23.2","Browser","bdist_wheel","false",1
"2026-03-20","0.23.2","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.23.2","bandersnatch","sdist","false",1
"2026-03-20","0.24.0","bandersnatch","bdist_wheel","false",1
"2026-03-20","0.24.0","bandersnatch","sdist","false",1
"2026-03-20","0.25.0","bandersnatch","bdist_wheel","false",2
"2026-03-20","0.25.0","bandersnatch","sdist","false",2
"2026-03-20","0.25.1","","bdist_wheel","false",1
"2026-03-20","0.25.1","","sdist","false",1
"2026-03-20","0.25.1","Browser","bdist_wheel","false",6
"2026-03-20","0.25.1","bandersnatch","bdist_wheel","false",2
"2026-03-20","0.25.1","bandersnatch","sdist","false",2
"2026-03-20","0.25.1","pip","bdist_wheel","false",6
"2026-03-20","0.25.1","uv","bdist_wheel","false",352
"2026-03-20","0.3.0","Browser","bdist_wheel","false",1
"2026-03-20","0.3.1","Browser","bdist_wheel","false",1
"2026-03-20","0.5.1","Browser","bdist_wheel","false",1
"2026-03-20","0.6.0","Browser","bdist_wheel","false",1
"2026-03-20","0.6.1","Browser","bdist_wheel","false",1
"2026-03-20","0.6.2","Browser","bdist_wheel","false",1
"2026-03-20","0.6.3","Browser","bdist_wheel","false",1
"2026-03-20","0.6.4","Browser","bdist_wheel","false",1
"2026-03-20","0.7.0","Browser","bdist_wheel","false",1
"2026-03-20","0.7.1","Browser","bdist_wheel","false",1
"2026-03-20","0.7.2","Browser","bdist_wheel","false",1
"2026-03-20","0.8.1","Browser","bdist_wheel","false",1
"2026-03-20","0.8.2","Browser","bdist_wheel","false",1
"2026-03-20","0.9.1","Browser","bdist_wheel","false",1
"2026-03-21","0.1.9","Browser","sdist","false",1
"2026-03-21","0.11.3","Browser","sdist","false",1
"2026-03-21","0.21.0","Browser","bdist_wheel","false",1
"2026-03-21","0.21.0","Browser","sdist","false",1
"2026-03-21","0.21.1","Browser","bdist_wheel","false",1
"2026-03-21","0.21.1","Browser","sdist","false",1
"2026-03-21","0.21.2","Browser","bdist_wheel","false",1
"2026-03-21","0.21.2","Browser","sdist","false",1
"2026-03-21","0.22.0","Browser","bdist_wheel","false",2
"2026-03-21","0.22.0","Browser","sdist","false",1
"2026-03-21","0.22.1","Browser","bdist_wheel","false",1
"2026-03-21","0.22.1","Browser","sdist","false",1
"2026-03-21","0.22.2","Browser","bdist_wheel","false",1
"2026-03-21","0.22.2","Browser","sdist","false",1
"2026-03-21","0.22.2","bandersnatch","bdist_wheel","false",1
"2026-03-21","0.22.2","bandersnatch","sdist","false",1
"2026-03-21","0.22.3","Browser","bdist_wheel","false",1
"2026-03-21","0.22.3","Browser","sdist","false",1
"2026-03-21","0.22.3","bandersnatch","bdist_wheel","false",1
"2026-03-21","0.22.3","bandersnatch","sdist","false",1
"2026-03-21","0.22.4","Browser","bdist_wheel","false",1
"2026-03-21","0.22.4","Browser","sdist","false",1
"2026-03-21","0.22.4","bandersnatch","bdist_wheel","false",1
"2026-03-21","0.22.4","bandersnatch","sdist","false",1
"2026-03-21","0.23.0","Browser","bdist_wheel","false",1
"2026-03-21","0.23.0","Browser","sdist","false",1
"2026-03-21","0.23.0","bandersnatch","bdist_wheel","false",1
"2026-03-21","0.23.0","bandersnatch","sdist","false",1
"2026-03-21","0.23.1","","bdist_wheel","false",1
"2026-03-21","0.23.1","","sdist","false",1
"2026-03-21","0.23.1","Browser","bdist_wheel","false",1
"2026-03-21","0.23.1","Browser","sdist","false",1
"2026-03-21","0.23.1","bandersnatch","bdist_wheel","false",1
"2026-03-21","0.23.1","bandersnatch","sdist","false",1
"2026-03-21","0.23.2","Browser","bdist_wheel","false",1
"2026-03-21","0.23.2","Browser","sdist","false",2
"2026-03-21","0.23.2","bandersnatch","bdist_wheel","false",1
"2026-03-21","0.23.2","bandersnatch","sdist","false",1
"2026-03-21","0.24.0","Browser","bdist_wheel","false",1
"2026-03-21","0.24.0","Browser","sdist","false",1
"2026-03-21","0.24.0","bandersnatch","bdist_wheel","false",1
"2026-03-21","0.24.0","bandersnatch","sdist","false",1
"2026-03-21","0.25.0","","bdist_wheel","false",1
"2026-03-21","0.25.0","","sdist","false",1
"2026-03-21","0.25.0","Browser","bdist_wheel","false",1
"2026-03-21","0.25.0","Browser","sdist","false",1
"2026-03-21","0.25.0","bandersnatch","bdist_wheel","false",1
"2026-03-21","0.25.0","bandersnatch","sdist","false",1
"2026-03-21","0.25.1","","bdist_wheel","false",1
"2026-03-21","0.25.1","","sdist","false",1
"2026-03-21","0.25.1","Browser","bdist_wheel","false",2
"2026-03-21","0.25.1","Browser","sdist","false",3
"2026-03-21","0.25.1","bandersnatch","bdist_wheel","false",1
"2026-03-21","0.25.1","bandersnatch","sdist","false",1
"2026-03-21","0.25.1","pip","bdist_wheel","false",10
"2026-03-21","0.25.1","uv","bdist_wheel","false",284
"2026-03-22","0.1.3","uv","bdist_wheel","true",2
"2026-03-22","0.25.0","","bdist_wheel","false",2
"2026-03-22","0.25.0","","sdist","false",2
"2026-03-22","0.25.0","bandersnatch","bdist_wheel","false",1
"2026-03-22","0.25.0","bandersnatch","sdist","false",1
"2026-03-22","0.25.1","","bdist_wheel","false",3
"2026-03-22","0.25.1","","sdist","false",2
"2026-03-22","0.25.1","bandersnatch","bdist_wheel","false",2
"2026-03-22","0.25.1","bandersnatch","sdist","false",2
"2026-03-22","0.25.1","pip","bdist_wheel","false",2
"2026-03-22","0.25.1","uv","bdist_wheel","false",369
"2026-03-22","0.25.1","uv","bdist_wheel","true",8
"2026-03-23","0.1.2","Browser","sdist","false",1
"2026-03-23","0.1.3","uv","bdist_wheel","false",2
"2026-03-23","0.2.0","Browser","bdist_wheel","false",1
"2026-03-23","0.21.0","Browser","bdist_wheel","false",1
"2026-03-23","0.22.3","bandersnatch","bdist_wheel","false",1
"2026-03-23","0.22.3","bandersnatch","sdist","false",1
"2026-03-23","0.22.4","bandersnatch","bdist_wheel","false",1
"2026-03-23","0.22.4","bandersnatch","sdist","false",1
"2026-03-23","0.23.0","bandersnatch","bdist_wheel","false",1
"2026-03-23","0.23.0","bandersnatch","sdist","false",1
"2026-03-23","0.23.1","bandersnatch","bdist_wheel","false",1
"2026-03-23","0.23.1","bandersnatch","sdist","false",1
"2026-03-23","0.23.2","bandersnatch","bdist_wheel","false",1
"2026-03-23","0.23.2","bandersnatch","sdist","false",1
"2026-03-23","0.24.0","bandersnatch","bdist_wheel","false",3
"2026-03-23","0.24.0","bandersnatch","sdist","false",3
"2026-03-23","0.25.0","bandersnatch","bdist_wheel","false",3
"2026-03-23","0.25.0","bandersnatch","sdist","false",3
"2026-03-23","0.25.1","bandersnatch","bdist_wheel","false",3
"2026-03-23","0.25.1","bandersnatch","sdist","false",3
"2026-03-23","0.25.1","pip","bdist_wheel","false",2
"2026-03-23","0.25.1","uv","bdist_wheel","false",274
"2026-03-23","0.25.1","uv","bdist_wheel","true",16
"2026-03-24","0.16.2","Browser","sdist","false",1
"2026-03-24","0.18.0","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.18.0","bandersnatch","sdist","false",1
"2026-03-24","0.19.0","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.19.0","bandersnatch","sdist","false",1
"2026-03-24","0.19.1","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.19.1","bandersnatch","sdist","false",1
"2026-03-24","0.19.2","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.19.2","bandersnatch","sdist","false",1
"2026-03-24","0.20.0","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.20.0","bandersnatch","sdist","false",1
"2026-03-24","0.21.0","Browser","bdist_wheel","false",1
"2026-03-24","0.21.0","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.21.0","bandersnatch","sdist","false",1
"2026-03-24","0.21.1","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.21.1","bandersnatch","sdist","false",1
"2026-03-24","0.21.2","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.21.2","bandersnatch","sdist","false",1
"2026-03-24","0.22.0","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.22.0","bandersnatch","sdist","false",1
"2026-03-24","0.22.1","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.22.1","bandersnatch","sdist","false",1
"2026-03-24","0.22.2","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.22.2","bandersnatch","sdist","false",1
"2026-03-24","0.22.3","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.22.3","bandersnatch","sdist","false",1
"2026-03-24","0.22.4","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.22.4","bandersnatch","sdist","false",1
"2026-03-24","0.23.0","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.23.0","bandersnatch","sdist","false",1
"2026-03-24","0.23.1","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.23.1","bandersnatch","sdist","false",1
"2026-03-24","0.23.1","uv","bdist_wheel","false",2
"2026-03-24","0.23.2","bandersnatch","bdist_wheel","false",1
"2026-03-24","0.23.2","bandersnatch","sdist","false",1
"2026-03-24","0.24.0","bandersnatch","bdist_wheel","false",2
"2026-03-24","0.24.0","bandersnatch","sdist","false",2
"2026-03-24","0.24.0","uv","bdist_wheel","false",1
"2026-03-24","0.25.0","","bdist_wheel","false",1
"2026-03-24","0.25.0","","sdist","false",1
"2026-03-24","0.25.0","bandersnatch","bdist_wheel","false",4
"2026-03-24","0.25.0","bandersnatch","sdist","false",4
"2026-03-24","0.25.0","pip","bdist_wheel","false",2
"2026-03-24","0.25.1","","bdist_wheel","false",1
"2026-03-24","0.25.1","","sdist","false",1
"2026-03-24","0.25.1","Browser","bdist_wheel","false",1
"2026-03-24","0.25.1","Browser","sdist","false",1
"2026-03-24","0.25.1","bandersnatch","bdist_wheel","false",4
"2026-03-24","0.25.1","bandersnatch","sdist","false",4
"2026-03-24","0.25.1","pip","bdist_wheel","false",11
"2026-03-24","0.25.1","uv","bdist_wheel","false",457
"2026-03-24","0.25.1","uv","bdist_wheel","true",41
"2026-03-24","0.5.0","Browser","sdist","false",2
"2026-03-25","0.1.10","Browser","sdist","false",1
