"date","version_class","ci","downloads"
"2026-01-17","1.25.0","false",585257
"2026-01-17","1.25.0","true",140837
"2026-01-17","other","false",338991
"2026-01-17","other","true",192911
"2026-01-18","1.25.0","false",617549
"2026-01-18","1.25.0","true",129186
"2026-01-18","other","false",368940
"2026-01-18","other","true",163596
"2026-01-19","1.25.0","false",810345
"2026-01-19","1.25.0","true",238986
"2026-01-19","other","false",575354
"2026-01-19","other","true",461843
"2026-01-20","1.25.0","false",865161
"2026-01-20","1.25.0","true",278088
"2026-01-20","other","false",665250
"2026-01-20","other","true",513556
"2026-01-21","1.25.0","false",974538
"2026-01-21","1.25.0","true",305977
"2026-01-21","other","false",645497
"2026-01-21","other","true",553039
"2026-01-22","1.25.0","false",1027514
"2026-01-22","1.25.0","true",324924
"2026-01-22","other","false",675633
"2026-01-22","other","true",606468
"2026-01-23","1.25.0","false",1037696
"2026-01-23","1.25.0","true",301991
"2026-01-23","other","false",628293
"2026-01-23","other","true",544617
"2026-01-24","1.25.0","false",651003
"2026-01-24","1.25.0","true",140818
"2026-01-24","1.26.0","false",162090
"2026-01-24","1.26.0","true",25987
"2026-01-24","other","false",419724
"2026-01-24","other","true",186298
"2026-01-25","1.25.0","false",61599
"2026-01-25","1.25.0","true",45981
"2026-01-25","1.26.0","false",903339
"2026-01-25","1.26.0","true",139455
"2026-01-25","other","false",378100
"2026-01-25","other","true",161833
"2026-01-26","1.25.0","false",111570
"2026-01-26","1.25.0","true",121753
"2026-01-26","1.26.0","false",1517918
"2026-01-26","1.26.0","true",229857
"2026-01-26","other","false",758232
"2026-01-26","other","true",470683
"2026-01-27","1.25.0","false",126604
"2026-01-27","1.25.0","true",144138
"2026-01-27","1.26.0","false",1365846
"2026-01-27","1.26.0","true",305200
"2026-01-27","other","false",893902
"2026-01-27","other","true",617417
"2026-01-28","1.25.0","false",121129
"2026-01-28","1.25.0","true",132676
"2026-01-28","1.26.0","false",1225281
"2026-01-28","1.26.0","true",287057
"2026-01-28","other","false",806926
"2026-01-28","other","true",595981
"2026-01-29","1.25.0","false",111647
"2026-01-29","1.25.0","true",127655
"2026-01-29","1.26.0","false",1324466
"2026-01-29","1.26.0","true",282282
"2026-01-29","other","false",845982
"2026-01-29","other","true",633255
"2026-01-30","1.25.0","false",97511
"2026-01-30","1.25.0","true",105078
"2026-01-30","1.26.0","false",1159579
"2026-01-30","1.26.0","true",272915
"2026-01-30","other","false",702420
"2026-01-30","other","true",517346
"2026-01-31","1.25.0","false",52045
"2026-01-31","1.25.0","true",49786
"2026-01-31","1.26.0","false",889016
"2026-01-31","1.26.0","true",155540
"2026-01-31","other","false",371782
"2026-01-31","other","true",195581
"2026-02-01","1.25.0","false",55878
"2026-02-01","1.25.0","true",61360
"2026-02-01","1.26.0","false",878611
"2026-02-01","1.26.0","true",154627
"2026-02-01","other","false",417942
"2026-02-01","other","true",189074
"2026-02-02","1.25.0","false",95358
"2026-02-02","1.25.0","true",110478
"2026-02-02","1.26.0","false",1432286
"2026-02-02","1.26.0","true",253822
"2026-02-02","other","false",646407
"2026-02-02","other","true",493506
"2026-02-03","1.25.0","false",108138
"2026-02-03","1.25.0","true",129350
"2026-02-03","1.26.0","false",1795828
"2026-02-03","1.26.0","true",338247
"2026-02-03","other","false",797588
"2026-02-03","other","true",645372
"2026-02-04","1.25.0","false",103386
"2026-02-04","1.25.0","true",121943
"2026-02-04","1.26.0","false",1244809
"2026-02-04","1.26.0","true",325292
"2026-02-04","other","false",773761
"2026-02-04","other","true",608229
"2026-02-05","1.25.0","false",105568
"2026-02-05","1.25.0","true",114969
"2026-02-05","1.26.0","false",1192260
"2026-02-05","1.26.0","true",321678
"2026-02-05","other","false",787539
"2026-02-05","other","true",600627
"2026-02-06","1.25.0","false",99824
"2026-02-06","1.25.0","true",107405
"2026-02-06","1.26.0","false",1250952
"2026-02-06","1.26.0","true",313876
"2026-02-06","other","false",761951
"2026-02-06","other","true",538728
"2026-02-07","1.25.0","false",56687
"2026-02-07","1.25.0","true",47793
"2026-02-07","1.26.0","false",927858
"2026-02-07","1.26.0","true",165289
"2026-02-07","other","false",439548
"2026-02-07","other","true",201357
"2026-02-08","1.25.0","false",53933
"2026-02-08","1.25.0","true",41705
"2026-02-08","1.26.0","false",858323
"2026-02-08","1.26.0","true",155694
"2026-02-08","other","false",457496
"2026-02-08","other","true",200228
"2026-02-09","1.25.0","false",107094
"2026-02-09","1.25.0","true",101795
"2026-02-09","1.26.0","false",1560052
"2026-02-09","1.26.0","true",300544
"2026-02-09","other","false",776722
"2026-02-09","other","true",543135
"2026-02-10","1.25.0","false",127966
"2026-02-10","1.25.0","true",129365
"2026-02-10","1.26.0","false",1706331
"2026-02-10","1.26.0","true",395475
"2026-02-10","other","false",875843
"2026-02-10","other","true",640040
"2026-02-11","1.25.0","false",120993
"2026-02-11","1.25.0","true",120130
"2026-02-11","1.26.0","false",1557960
"2026-02-11","1.26.0","true",386785
"2026-02-11","other","false",830393
"2026-02-11","other","true",562430
"2026-02-12","1.25.0","false",117842
"2026-02-12","1.25.0","true",116657
"2026-02-12","1.26.0","false",1253505
"2026-02-12","1.26.0","true",392025
"2026-02-12","other","false",847720
"2026-02-12","other","true",633836
"2026-02-13","1.25.0","false",100126
"2026-02-13","1.25.0","true",102121
"2026-02-13","1.26.0","false",1169740
"2026-02-13","1.26.0","true",424249
"2026-02-13","other","false",790619
"2026-02-13","other","true",534672
"2026-02-14","1.25.0","false",45162
"2026-02-14","1.25.0","true",42339
"2026-02-14","1.26.0","false",943019
"2026-02-14","1.26.0","true",198341
"2026-02-14","other","false",497458
"2026-02-14","other","true",220773
"2026-02-15","1.25.0","false",51164
"2026-02-15","1.25.0","true",40625
"2026-02-15","1.26.0","false",845512
"2026-02-15","1.26.0","true",189960
"2026-02-15","other","false",514999
"2026-02-15","other","true",199934
"2026-02-16","1.25.0","false",81979
"2026-02-16","1.25.0","true",90711
"2026-02-16","1.26.0","false",1123055
"2026-02-16","1.26.0","true",337389
"2026-02-16","other","false",690404
"2026-02-16","other","true",502221
"2026-02-17","1.25.0","false",96754
"2026-02-17","1.25.0","true",104304
"2026-02-17","1.26.0","false",1232856
"2026-02-17","1.26.0","true",393885
"2026-02-17","other","false",825645
"2026-02-17","other","true",574148
"2026-02-18","1.25.0","false",97997
"2026-02-18","1.25.0","true",128512
"2026-02-18","1.26.0","false",1403938
"2026-02-18","1.26.0","true",418104
"2026-02-18","other","false",829144
"2026-02-18","other","true",555617
"2026-02-19","1.25.0","false",104369
"2026-02-19","1.25.0","true",122697
"2026-02-19","1.26.0","false",1422732
"2026-02-19","1.26.0","true",435769
"2026-02-19","other","false",782320
"2026-02-19","other","true",616697
"2026-02-20","1.25.0","false",95388
"2026-02-20","1.25.0","true",93571
"2026-02-20","1.26.0","false",1559267
"2026-02-20","1.26.0","true",411257
"2026-02-20","other","false",767103
"2026-02-20","other","true",526793
"2026-02-21","1.25.0","false",49699
"2026-02-21","1.25.0","true",44269
"2026-02-21","1.26.0","false",1178163
"2026-02-21","1.26.0","true",231692
"2026-02-21","other","false",470257
"2026-02-21","other","true",212211
"2026-02-22","1.25.0","false",53321
"2026-02-22","1.25.0","true",38698
"2026-02-22","1.26.0","false",1378520
"2026-02-22","1.26.0","true",218947
"2026-02-22","other","false",466130
"2026-02-22","other","true",189087
"2026-02-23","1.25.0","false",96914
"2026-02-23","1.25.0","true",94887
"2026-02-23","1.26.0","false",1563695
"2026-02-23","1.26.0","true",432065
"2026-02-23","other","false",749590
"2026-02-23","other","true",574119
"2026-02-24","1.25.0","false",99026
"2026-02-24","1.25.0","true",107695
"2026-02-24","1.26.0","false",1712409
"2026-02-24","1.26.0","true",476437
"2026-02-24","other","false",853668
"2026-02-24","other","true",575558
"2026-02-25","1.25.0","false",103490
"2026-02-25","1.25.0","true",103874
"2026-02-25","1.26.0","false",1840060
"2026-02-25","1.26.0","true",500434
"2026-02-25","other","false",882251
"2026-02-25","other","true",522172
"2026-02-26","1.25.0","false",105531
"2026-02-26","1.25.0","true",96003
"2026-02-26","1.26.0","false",2085692
"2026-02-26","1.26.0","true",484273
"2026-02-26","other","false",893963
"2026-02-26","other","true",593534
"2026-02-27","1.25.0","false",89762
"2026-02-27","1.25.0","true",87848
"2026-02-27","1.26.0","false",2015997
"2026-02-27","1.26.0","true",478775
"2026-02-27","other","false",763434
"2026-02-27","other","true",549307
