"date","version_class","installer","ci","downloads"
"2026-03-19","1.25.0","","false",436
"2026-03-19","1.25.0","Bazel","false",93
"2026-03-19","1.25.0","Browser","false",18
"2026-03-19","1.25.0","Homebrew","false",19
"2026-03-19","1.25.0","Nexus","false",163
"2026-03-19","1.25.0","bandersnatch","false",5
"2026-03-19","1.25.0","pip","false",23256
"2026-03-19","1.25.0","pip","true",15202
"2026-03-19","1.25.0","poetry","false",12266
"2026-03-19","1.25.0","requests","false",1200
"2026-03-19","1.25.0","uv","false",65720
"2026-03-19","1.25.0","uv","true",99805
"2026-03-19","1.26.0","","false",3928
"2026-03-19","1.26.0","Bazel","false",1448
"2026-03-19","1.26.0","Browser","false",245
"2026-03-19","1.26.0","Homebrew","false",21
"2026-03-19","1.26.0","Nexus","false",766
"2026-03-19","1.26.0","OS","false",1
"2026-03-19","1.26.0","bandersnatch","false",3
"2026-03-19","1.26.0","devpi","false",2
"2026-03-19","1.26.0","pip","false",773927
"2026-03-19","1.26.0","pip","true",215303
"2026-03-19","1.26.0","poetry","false",44708
"2026-03-19","1.26.0","requests","false",2985
"2026-03-19","1.26.0","uv","false",3297802
"2026-03-19","1.26.0","uv","true",595890
"2026-03-19","other","","false",1537
"2026-03-19","other","Artifactory","false",1
"2026-03-19","other","Bazel","false",6967
"2026-03-19","other","Browser","false",412
"2026-03-19","other","Homebrew","false",21
"2026-03-19","other","Nexus","false",1196
"2026-03-19","other","bandersnatch","false",88
"2026-03-19","other","pip","false",329974
"2026-03-19","other","pip","true",336537
"2026-03-19","other","poetry","false",25432
"2026-03-19","other","requests","false",431
"2026-03-19","other","uv","false",453394
"2026-03-19","other","uv","true",1135183
"2026-03-20","1.25.0","","false",143
"2026-03-20","1.25.0","Bazel","false",84
"2026-03-20","1.25.0","Browser","false",16
"2026-03-20","1.25.0","Homebrew","false",3
"2026-03-20","1.25.0","Nexus","false",143
"2026-03-20","1.25.0","OS","false",1
"2026-03-20","1.25.0","bandersnatch","false",4
"2026-03-20","1.25.0","pip","false",22643
"2026-03-20","1.25.0","pip","true",17095
"2026-03-20","1.25.0","poetry","false",8275
"2026-03-20","1.25.0","requests","false",847
"2026-03-20","1.25.0","uv","false",56664
"2026-03-20","1.25.0","uv","true",90324
"2026-03-20","1.26.0","","false",4332
"2026-03-20","1.26.0","Bazel","false",1155
"2026-03-20","1.26.0","Browser","false",204
"2026-03-20","1.26.0","Homebrew","false",4
"2026-03-20","1.26.0","Nexus","false",851
"2026-03-20","1.26.0","OS","false",1
"2026-03-20","1.26.0","bandersnatch","false",4
"2026-03-20","1.26.0","devpi","false",2
"2026-03-20","1.26.0","pip","false",703642
"2026-03-20","1.26.0","pip","true",218809
"2026-03-20","1.26.0","poetry","false",38798
"2026-03-20","1.26.0","requests","false",2237
"2026-03-20","1.26.0","uv","false",2350056
"2026-03-20","1.26.0","uv","true",509060
"2026-03-20","other","","false",1346
"2026-03-20","other","Bazel","false",871
"2026-03-20","other","Browser","false",234
"2026-03-20","other","Homebrew","false",19
"2026-03-20","other","Nexus","false",1137
"2026-03-20","other","bandersnatch","false",204
"2026-03-20","other","devpi","false",4
"2026-03-20","other","pip","false",308246
"2026-03-20","other","pip","true",309349
"2026-03-20","other","poetry","false",21367
"2026-03-20","other","requests","false",441
"2026-03-20","other","uv","false",422102
"2026-03-20","other","uv","true",1077371
"2026-03-21","1.25.0","","false",39
"2026-03-21","1.25.0","Bazel","false",25
"2026-03-21","1.25.0","Browser","false",22
"2026-03-21","1.25.0","Nexus","false",19
"2026-03-21","1.25.0","devpi","false",2
"2026-03-21","1.25.0","pip","false",13481
"2026-03-21","1.25.0","pip","true",9636
"2026-03-21","1.25.0","poetry","false",2700
"2026-03-21","1.25.0","requests","false",189
"2026-03-21","1.25.0","uv","false",35594
"2026-03-21","1.25.0","uv","true",53734
"2026-03-21","1.26.0","","false",1363
"2026-03-21","1.26.0","Bazel","false",155
"2026-03-21","1.26.0","Browser","false",127
"2026-03-21","1.26.0","Homebrew","false",4
"2026-03-21","1.26.0","Nexus","false",268
"2026-03-21","1.26.0","OS","false",1
"2026-03-21","1.26.0","devpi","false",1
"2026-03-21","1.26.0","pip","false",575148
"2026-03-21","1.26.0","pip","true",110762
"2026-03-21","1.26.0","poetry","false",15457
"2026-03-21","1.26.0","requests","false",378
"2026-03-21","1.26.0","uv","false",1025151
"2026-03-21","1.26.0","uv","true",241790
"2026-03-21","other","","false",485
"2026-03-21","other","Bazel","false",218
"2026-03-21","other","Browser","false",87
"2026-03-21","other","Homebrew","false",12
"2026-03-21","other","Nexus","false",202
"2026-03-21","other","devpi","false",78
"2026-03-21","other","pip","false",158924
"2026-03-21","other","pip","true",102312
"2026-03-21","other","poetry","false",8292
"2026-03-21","other","requests","false",395
"2026-03-21","other","uv","false",276293
"2026-03-21","other","uv","true",1006467
"2026-03-22","1.25.0","","false",80
"2026-03-22","1.25.0","Bazel","false",9
"2026-03-22","1.25.0","Browser","false",22
"2026-03-22","1.25.0","Nexus","false",29
"2026-03-22","1.25.0","devpi","false",1
"2026-03-22","1.25.0","pip","false",15352
"2026-03-22","1.25.0","pip","true",5755
"2026-03-22","1.25.0","poetry","false",3474
"2026-03-22","1.25.0","requests","false",212
"2026-03-22","1.25.0","uv","false",34897
"2026-03-22","1.25.0","uv","true",55067
"2026-03-22","1.26.0","","false",1550
"2026-03-22","1.26.0","Bazel","false",156
"2026-03-22","1.26.0","Browser","false",250
"2026-03-22","1.26.0","Nexus","false",310
"2026-03-22","1.26.0","devpi","false",2
"2026-03-22","1.26.0","pip","false",594724
"2026-03-22","1.26.0","pip","true",104978
"2026-03-22","1.26.0","poetry","false",16884
"2026-03-22","1.26.0","requests","false",625
"2026-03-22","1.26.0","setuptools","false",39
"2026-03-22","1.26.0","uv","false",1455328
"2026-03-22","1.26.0","uv","true",246687
"2026-03-22","other","","false",453
"2026-03-22","other","Bazel","false",108
"2026-03-22","other","Browser","false",130
"2026-03-22","other","Homebrew","false",4
"2026-03-22","other","Nexus","false",287
"2026-03-22","other","OS","false",1
"2026-03-22","other","devpi","false",20
"2026-03-22","other","pip","false",177565
"2026-03-22","other","pip","true",105087
"2026-03-22","other","poetry","false",9035
"2026-03-22","other","requests","false",368
"2026-03-22","other","uv","false",280069
"2026-03-22","other","uv","true",1162372
"2026-03-23","1.25.0","","false",291
"2026-03-23","1.25.0","Bazel","false",68
"2026-03-23","1.25.0","Browser","false",21
"2026-03-23","1.25.0","Nexus","false",134
"2026-03-23","1.25.0","bandersnatch","false",4
"2026-03-23","1.25.0","devpi","false",1
"2026-03-23","1.25.0","pip","false",21937
"2026-03-23","1.25.0","pip","true",14415
"2026-03-23","1.25.0","poetry","false",9857
"2026-03-23","1.25.0","requests","false",1681
"2026-03-23","1.25.0","uv","false",62039
"2026-03-23","1.25.0","uv","true",112764
"2026-03-23","1.26.0","","false",5008
"2026-03-23","1.26.0","Artifactory","false",4
"2026-03-23","1.26.0","Bazel","false",1632
"2026-03-23","1.26.0","Browser","false",575
"2026-03-23","1.26.0","Homebrew","false",45
"2026-03-23","1.26.0","Nexus","false",704
"2026-03-23","1.26.0","OS","false",3
"2026-03-23","1.26.0","bandersnatch","false",8
"2026-03-23","1.26.0","conda","false",12
"2026-03-23","1.26.0","devpi","false",3
"2026-03-23","1.26.0","pip","false",864210
"2026-03-23","1.26.0","pip","true",228100
"2026-03-23","1.26.0","poetry","false",44100
"2026-03-23","1.26.0","requests","false",4041
"2026-03-23","1.26.0","setuptools","false",4
"2026-03-23","1.26.0","uv","false",3992238
"2026-03-23","1.26.0","uv","true",552844
"2026-03-23","other","","false",1541
"2026-03-23","other","Bazel","false",1211
"2026-03-23","other","Browser","false",254
"2026-03-23","other","Homebrew","false",13
"2026-03-23","other","Nexus","false",1120
"2026-03-23","other","bandersnatch","false",104
"2026-03-23","other","devpi","false",3
"2026-03-23","other","pip","false",312490
"2026-03-23","other","pip","true",331908
"2026-03-23","other","poetry","false",28740
"2026-03-23","other","requests","false",965
"2026-03-23","other","uv","false",448535
"2026-03-23","other","uv","true",1428173
"2026-03-24","1.25.0","","false",445
"2026-03-24","1.25.0","Bazel","false",84
"2026-03-24","1.25.0","Browser","false",25
"2026-03-24","1.25.0","Nexus","false",174
"2026-03-24","1.25.0","devpi","false",1
"2026-03-24","1.25.0","pip","false",23134
"2026-03-24","1.25.0","pip","true",15920
"2026-03-24","1.25.0","poetry","false",10647
"2026-03-24","1.25.0","requests","false",1452
"2026-03-24","1.25.0","uv","false",66465
"2026-03-24","1.25.0","uv","true",121557
"2026-03-24","1.26.0","","false",5066
"2026-03-24","1.26.0","Artifactory","false",1
"2026-03-24","1.26.0","Bazel","false",2160
"2026-03-24","1.26.0","Browser","false",559
"2026-03-24","1.26.0","Homebrew","false",21
"2026-03-24","1.26.0","Nexus","false",759
"2026-03-24","1.26.0","bandersnatch","false",2
"2026-03-24","1.26.0","conda","false",4
"2026-03-24","1.26.0","devpi","false",7
"2026-03-24","1.26.0","pip","false",969014
"2026-03-24","1.26.0","pip","true",218689
"2026-03-24","1.26.0","poetry","false",45542
"2026-03-24","1.26.0","requests","false",3787
"2026-03-24","1.26.0","uv","false",1930382
"2026-03-24","1.26.0","uv","true",637619
"2026-03-24","other","","false",1808
"2026-03-24","other","Artifactory","false",2
"2026-03-24","other","Bazel","false",406
"2026-03-24","other","Browser","false",284
"2026-03-24","other","Homebrew","false",13
"2026-03-24","other","Nexus","false",1181
"2026-03-24","other","devpi","false",45
"2026-03-24","other","pip","false",358041
"2026-03-24","other","pip","true",324022
"2026-03-24","other","poetry","false",27741
"2026-03-24","other","requests","false",953
"2026-03-24","other","uv","false",447601
"2026-03-24","other","uv","true",1544560
"2026-03-25","1.25.0","","false",658
"2026-03-25","1.25.0","Artifactory","false",2
"2026-03-25","1.25.0","Bazel","false",84
"2026-03-25","1.25.0","Browser","false",14
"2026-03-25","1.25.0","Homebrew","false",19
"2026-03-25","1.25.0","Nexus","false",165
