"date","version_class","type","downloads"
"2026-03-19","1.25.0","bdist_wheel",218128
"2026-03-19","1.25.0","sdist",55
"2026-03-19","1.26.0","bdist_wheel",4936706
"2026-03-19","1.26.0","sdist",323
"2026-03-19","other","bdist_wheel",2290620
"2026-03-19","other","sdist",553
"2026-03-20","1.25.0","bdist_wheel",196222
"2026-03-20","1.25.0","sdist",20
"2026-03-20","1.26.0","bdist_wheel",3828737
"2026-03-20","1.26.0","sdist",418
"2026-03-20","other","bdist_wheel",2142299
"2026-03-20","other","sdist",392
"2026-03-21","1.25.0","bdist_wheel",115425
"2026-03-21","1.25.0","sdist",16
"2026-03-21","1.26.0","bdist_wheel",1970418
"2026-03-21","1.26.0","sdist",187
"2026-03-21","other","bdist_wheel",1553468
"2026-03-21","other","sdist",297
"2026-03-22","1.25.0","bdist_wheel",114883
"2026-03-22","1.25.0","sdist",15
"2026-03-22","1.26.0","bdist_wheel",2421418
"2026-03-22","1.26.0","sdist",115
"2026-03-22","other","bdist_wheel",1735235
"2026-03-22","other","sdist",264
"2026-03-23","1.25.0","bdist_wheel",223189
"2026-03-23","1.25.0","sdist",23
"2026-03-23","1.26.0","bdist_wheel",5692977
"2026-03-23","1.26.0","sdist",554
"2026-03-23","other","bdist_wheel",2554438
"2026-03-23","other","sdist",619
"2026-03-24","1.25.0","bdist_wheel",239881
"2026-03-24","1.25.0","sdist",23
"2026-03-24","1.26.0","bdist_wheel",3813101
"2026-03-24","1.26.0","sdist",511
"2026-03-24","other","bdist_wheel",2706220
"2026-03-24","other","sdist",437
"2026-03-25","1.25.0","bdist_wheel",234507
"2026-03-25","1.25.0","sdist",60
"2026-03-25","1.26.0","bdist_wheel",4102485
"2026-03-25","1.26.0","sdist",364
"2026-03-25","other","bdist_wheel",2676192
"2026-03-25","other","sdist",446
"2026-03-26","1.25.0","bdist_wheel",249990
"2026-03-26","1.25.0","sdist",23
"2026-03-26","1.26.0","bdist_wheel",8830498
"2026-03-26","1.26.0","sdist",575
"2026-03-26","other","bdist_wheel",2645816
"2026-03-26","other","sdist",497
"2026-03-27","1.25.0","bdist_wheel",245680
"2026-03-27","1.25.0","sdist",18
