"date","version_class","installer","type","downloads"
"2026-01-17","1.25.0","","bdist_wheel",715
"2026-01-17","1.25.0","Bazel","bdist_wheel",2
"2026-01-17","1.25.0","Browser","sdist",29
"2026-01-17","1.25.0","Homebrew","sdist",20
"2026-01-17","1.25.0","Nexus","bdist_wheel",123
"2026-01-17","1.25.0","OS","sdist",6
"2026-01-17","1.25.0","bandersnatch","bdist_wheel",6
"2026-01-17","1.25.0","devpi","bdist_wheel",3
"2026-01-17","1.25.0","pip","bdist_wheel",343271
"2026-01-17","1.25.0","poetry","bdist_wheel",5189
"2026-01-17","1.25.0","requests","sdist",126
"2026-01-17","1.25.0","uv","bdist_wheel",376604
"2026-01-17","other","","bdist_wheel",498
"2026-01-17","other","","sdist",55
"2026-01-17","other","Artifactory","bdist_wheel",2
"2026-01-17","other","Bazel","bdist_wheel",15
"2026-01-17","other","Browser","bdist_wheel",140
"2026-01-17","other","Browser","sdist",55
"2026-01-17","other","Homebrew","sdist",27
"2026-01-17","other","Nexus","bdist_wheel",224
"2026-01-17","other","bandersnatch","bdist_wheel",8
"2026-01-17","other","pip","bdist_wheel",252245
"2026-01-17","other","poetry","bdist_wheel",12088
"2026-01-17","other","requests","bdist_wheel",115
"2026-01-17","other","requests","sdist",31
"2026-01-17","other","uv","bdist_wheel",266399
"2026-01-18","1.25.0","","bdist_wheel",1196
"2026-01-18","1.25.0","Browser","bdist_wheel",28
"2026-01-18","1.25.0","Homebrew","sdist",5
"2026-01-18","1.25.0","Nexus","bdist_wheel",120
"2026-01-18","1.25.0","OS","sdist",4
"2026-01-18","1.25.0","bandersnatch","bdist_wheel",4
"2026-01-18","1.25.0","devpi","bdist_wheel",3
"2026-01-18","1.25.0","pip","bdist_wheel",341606
"2026-01-18","1.25.0","poetry","bdist_wheel",5468
"2026-01-18","1.25.0","requests","bdist_wheel",1000
"2026-01-18","1.25.0","uv","bdist_wheel",397301
"2026-01-18","other","","bdist_wheel",534
"2026-01-18","other","","sdist",56
"2026-01-18","other","Artifactory","bdist_wheel",2
"2026-01-18","other","Bazel","bdist_wheel",4
"2026-01-18","other","Browser","bdist_wheel",111
"2026-01-18","other","Browser","sdist",15
"2026-01-18","other","Homebrew","sdist",12
"2026-01-18","other","Nexus","bdist_wheel",188
"2026-01-18","other","OS","sdist",1
"2026-01-18","other","bandersnatch","bdist_wheel",16
"2026-01-18","other","bandersnatch","sdist",4
"2026-01-18","other","pip","bdist_wheel",273026
"2026-01-18","other","poetry","bdist_wheel",13714
"2026-01-18","other","requests","bdist_wheel",333
"2026-01-18","other","requests","sdist",12
"2026-01-18","other","uv","bdist_wheel",244508
"2026-01-19","1.25.0","","sdist",1982
"2026-01-19","1.25.0","Artifactory","bdist_wheel",2
"2026-01-19","1.25.0","Bazel","bdist_wheel",4
"2026-01-19","1.25.0","Browser","bdist_wheel",226
"2026-01-19","1.25.0","Homebrew","sdist",2
"2026-01-19","1.25.0","Nexus","bdist_wheel",394
"2026-01-19","1.25.0","OS","sdist",6
"2026-01-19","1.25.0","bandersnatch","sdist",4
"2026-01-19","1.25.0","devpi","bdist_wheel",2
"2026-01-19","1.25.0","pip","bdist_wheel",476506
"2026-01-19","1.25.0","poetry","bdist_wheel",21779
"2026-01-19","1.25.0","requests","bdist_wheel",856
"2026-01-19","1.25.0","setuptools","sdist",2
"2026-01-19","1.25.0","uv","bdist_wheel",547566
"2026-01-19","other","","bdist_wheel",1636
"2026-01-19","other","","sdist",7
"2026-01-19","other","Artifactory","bdist_wheel",2
"2026-01-19","other","Bazel","bdist_wheel",51
"2026-01-19","other","Bazel","sdist",1
"2026-01-19","other","Browser","bdist_wheel",323
"2026-01-19","other","Browser","sdist",10
"2026-01-19","other","Homebrew","sdist",21
"2026-01-19","other","Nexus","bdist_wheel",1003
"2026-01-19","other","OS","sdist",1
"2026-01-19","other","bandersnatch","bdist_wheel",43
"2026-01-19","other","bandersnatch","sdist",78
"2026-01-19","other","devpi","bdist_wheel",20
"2026-01-19","other","pip","bdist_wheel",532017
"2026-01-19","other","poetry","bdist_wheel",33748
"2026-01-19","other","requests","bdist_wheel",1101
"2026-01-19","other","requests","sdist",74
"2026-01-19","other","uv","bdist_wheel",467061
"2026-01-20","1.25.0","","bdist_wheel",2552
"2026-01-20","1.25.0","Bazel","bdist_wheel",9
"2026-01-20","1.25.0","Browser","bdist_wheel",88
"2026-01-20","1.25.0","Homebrew","sdist",8
"2026-01-20","1.25.0","Nexus","bdist_wheel",445
"2026-01-20","1.25.0","OS","sdist",6
"2026-01-20","1.25.0","bandersnatch","bdist_wheel",6
"2026-01-20","1.25.0","devpi","bdist_wheel",8
"2026-01-20","1.25.0","pip","bdist_wheel",501268
"2026-01-20","1.25.0","poetry","bdist_wheel",27437
"2026-01-20","1.25.0","requests","bdist_wheel",1102
"2026-01-20","1.25.0","uv","bdist_wheel",610320
"2026-01-20","other","","bdist_wheel",2146
"2026-01-20","other","","sdist",31
"2026-01-20","other","Bazel","bdist_wheel",157
"2026-01-20","other","Browser","bdist_wheel",297
"2026-01-20","other","Browser","sdist",28
"2026-01-20","other","Homebrew","sdist",7
"2026-01-20","other","Nexus","bdist_wheel",1123
"2026-01-20","other","bandersnatch","bdist_wheel",94
"2026-01-20","other","bandersnatch","sdist",54
"2026-01-20","other","conda","sdist",1
"2026-01-20","other","devpi","bdist_wheel",37
"2026-01-20","other","pip","bdist_wheel",549225
"2026-01-20","other","poetry","bdist_wheel",33761
"2026-01-20","other","requests","bdist_wheel",1195
"2026-01-20","other","requests","sdist",137
"2026-01-20","other","uv","bdist_wheel",590513
"2026-01-21","1.25.0","","bdist_wheel",2540
"2026-01-21","1.25.0","Artifactory","bdist_wheel",1
"2026-01-21","1.25.0","Bazel","bdist_wheel",12
"2026-01-21","1.25.0","Browser","bdist_wheel",49
"2026-01-21","1.25.0","Homebrew","sdist",23
"2026-01-21","1.25.0","Nexus","bdist_wheel",469
"2026-01-21","1.25.0","OS","sdist",1
"2026-01-21","1.25.0","conda","bdist_wheel",1
"2026-01-21","1.25.0","devpi","bdist_wheel",4
"2026-01-21","1.25.0","pip","bdist_wheel",585083
"2026-01-21","1.25.0","poetry","bdist_wheel",28860
"2026-01-21","1.25.0","requests","bdist_wheel",1545
"2026-01-21","1.25.0","uv","bdist_wheel",661927
"2026-01-21","other","","bdist_wheel",1605
"2026-01-21","other","","sdist",337
"2026-01-21","other","Artifactory","bdist_wheel",4
"2026-01-21","other","Bazel","bdist_wheel",91
"2026-01-21","other","Browser","bdist_wheel",364
