"date","version_class","installer","type","downloads"
"2026-03-19","1.25.0","","bdist_wheel",436
"2026-03-19","1.25.0","Bazel","bdist_wheel",93
"2026-03-19","1.25.0","Browser","bdist_wheel",18
"2026-03-19","1.25.0","Homebrew","sdist",19
"2026-03-19","1.25.0","Nexus","bdist_wheel",163
"2026-03-19","1.25.0","bandersnatch","sdist",5
"2026-03-19","1.25.0","pip","bdist_wheel",38458
"2026-03-19","1.25.0","poetry","bdist_wheel",12266
"2026-03-19","1.25.0","requests","bdist_wheel",1200
"2026-03-19","1.25.0","uv","bdist_wheel",165525
"2026-03-19","1.26.0","","bdist_wheel",3928
"2026-03-19","1.26.0","Bazel","bdist_wheel",1448
"2026-03-19","1.26.0","Browser","bdist_wheel",245
"2026-03-19","1.26.0","Homebrew","sdist",21
"2026-03-19","1.26.0","Nexus","bdist_wheel",766
"2026-03-19","1.26.0","OS","sdist",1
"2026-03-19","1.26.0","bandersnatch","sdist",3
"2026-03-19","1.26.0","devpi","bdist_wheel",2
"2026-03-19","1.26.0","pip","bdist_wheel",989230
"2026-03-19","1.26.0","poetry","bdist_wheel",44708
"2026-03-19","1.26.0","requests","bdist_wheel",2985
"2026-03-19","1.26.0","uv","bdist_wheel",3893692
"2026-03-19","other","","bdist_wheel",1517
"2026-03-19","other","","sdist",20
"2026-03-19","other","Artifactory","bdist_wheel",1
"2026-03-19","other","Bazel","bdist_wheel",6967
"2026-03-19","other","Browser","bdist_wheel",352
"2026-03-19","other","Browser","sdist",60
"2026-03-19","other","Homebrew","sdist",21
"2026-03-19","other","Nexus","bdist_wheel",1196
"2026-03-19","other","bandersnatch","bdist_wheel",46
"2026-03-19","other","bandersnatch","sdist",42
"2026-03-19","other","pip","bdist_wheel",666511
"2026-03-19","other","poetry","bdist_wheel",25432
"2026-03-19","other","requests","bdist_wheel",381
"2026-03-19","other","requests","sdist",50
"2026-03-19","other","uv","bdist_wheel",1588577
"2026-03-20","1.25.0","","bdist_wheel",143
"2026-03-20","1.25.0","Bazel","bdist_wheel",84
"2026-03-20","1.25.0","Browser","bdist_wheel",16
"2026-03-20","1.25.0","Homebrew","sdist",3
"2026-03-20","1.25.0","Nexus","bdist_wheel",143
"2026-03-20","1.25.0","OS","sdist",1
"2026-03-20","1.25.0","bandersnatch","sdist",4
"2026-03-20","1.25.0","pip","bdist_wheel",39738
"2026-03-20","1.25.0","poetry","bdist_wheel",8275
"2026-03-20","1.25.0","requests","bdist_wheel",847
"2026-03-20","1.25.0","uv","bdist_wheel",146988
"2026-03-20","1.26.0","","bdist_wheel",4332
"2026-03-20","1.26.0","Bazel","bdist_wheel",1155
"2026-03-20","1.26.0","Browser","bdist_wheel",204
"2026-03-20","1.26.0","Homebrew","sdist",4
"2026-03-20","1.26.0","Nexus","bdist_wheel",851
"2026-03-20","1.26.0","OS","sdist",1
"2026-03-20","1.26.0","bandersnatch","sdist",4
"2026-03-20","1.26.0","devpi","bdist_wheel",2
"2026-03-20","1.26.0","pip","bdist_wheel",922451
"2026-03-20","1.26.0","poetry","bdist_wheel",38798
"2026-03-20","1.26.0","requests","bdist_wheel",2237
"2026-03-20","1.26.0","uv","bdist_wheel",2859116
"2026-03-20","other","","bdist_wheel",1274
"2026-03-20","other","","sdist",72
"2026-03-20","other","Bazel","bdist_wheel",871
"2026-03-20","other","Browser","bdist_wheel",224
"2026-03-20","other","Browser","sdist",10
"2026-03-20","other","Homebrew","sdist",19
