"date","version","downloads"
"2026-01-17","0.9.1",620
"2026-01-17","1.0.0",873
"2026-01-17","1.1.0",655
"2026-01-17","1.1.1",366
"2026-01-17","1.1.2",1189
"2026-01-17","1.1.3",1125
"2026-01-17","1.10.0",2288
"2026-01-17","1.10.1",6455
"2026-01-17","1.11.0",8145
"2026-01-17","1.12.0",6692
"2026-01-17","1.12.1",3508
"2026-01-17","1.12.2",7513
"2026-01-17","1.12.3",5066
"2026-01-17","1.12.4",25770
"2026-01-17","1.13.0",7189
"2026-01-17","1.13.1",11351
"2026-01-17","1.14.0",7611
"2026-01-17","1.14.1",8747
"2026-01-17","1.15.0",10247
"2026-01-17","1.16.0",39077
"2026-01-17","1.17.0",11331
"2026-01-17","1.18.0",10748
"2026-01-17","1.19.0",8961
"2026-01-17","1.2.0",739
"2026-01-17","1.2.0rc1",3
"2026-01-17","1.2.1",460
"2026-01-17","1.20.0",11948
"2026-01-17","1.21.0",10345
"2026-01-17","1.21.1",8518
"2026-01-17","1.21.2",10408
"2026-01-17","1.22.0",31886
"2026-01-17","1.23.0",14582
"2026-01-17","1.23.1",12480
"2026-01-17","1.23.2",32764
"2026-01-17","1.23.3",124073
"2026-01-17","1.24.0",31252
"2026-01-17","1.25.0",726094
"2026-01-17","1.3.0",915
"2026-01-17","1.3.0rc1",10
"2026-01-17","1.4.0",465
"2026-01-17","1.4.1",3275
"2026-01-17","1.5.0",3029
"2026-01-17","1.6.0",7186
"2026-01-17","1.7.0",1926
"2026-01-17","1.7.1",2065
"2026-01-17","1.8.0",2243
"2026-01-17","1.8.1",7767
"2026-01-17","1.9.0",2831
"2026-01-17","1.9.1",2610
"2026-01-17","1.9.2",6320
"2026-01-17","1.9.3",2742
"2026-01-17","1.9.4",13533
"2026-01-18","0.9.1",640
"2026-01-18","1.0.0",879
"2026-01-18","1.1.0",636
"2026-01-18","1.1.1",393
"2026-01-18","1.1.2",1631
"2026-01-18","1.1.3",1112
"2026-01-18","1.10.0",2424
"2026-01-18","1.10.1",6332
"2026-01-18","1.11.0",7451
"2026-01-18","1.12.0",5781
"2026-01-18","1.12.1",3107
"2026-01-18","1.12.2",7984
"2026-01-18","1.12.3",6550
"2026-01-18","1.12.4",22215
"2026-01-18","1.13.0",6692
"2026-01-18","1.13.1",11480
"2026-01-18","1.14.0",8342
"2026-01-18","1.14.1",8503
"2026-01-18","1.15.0",8839
"2026-01-18","1.16.0",39017
"2026-01-18","1.17.0",10536
"2026-01-18","1.18.0",10451
"2026-01-18","1.19.0",8877
"2026-01-18","1.2.0",1055
"2026-01-18","1.2.0rc1",7
"2026-01-18","1.2.1",626
"2026-01-18","1.20.0",11162
"2026-01-18","1.21.0",10869
"2026-01-18","1.21.1",8140
"2026-01-18","1.21.2",9747
"2026-01-18","1.22.0",34269
"2026-01-18","1.23.0",14709
"2026-01-18","1.23.1",11868
"2026-01-18","1.23.2",20349
"2026-01-18","1.23.3",139141
"2026-01-18","1.24.0",28827
"2026-01-18","1.25.0",746735
"2026-01-18","1.3.0",866
"2026-01-18","1.3.0rc1",2
"2026-01-18","1.4.0",529
"2026-01-18","1.4.1",2983
"2026-01-18","1.5.0",3007
"2026-01-18","1.6.0",7692
"2026-01-18","1.7.0",1951
"2026-01-18","1.7.1",2144
"2026-01-18","1.8.0",2412
"2026-01-18","1.8.1",7554
"2026-01-18","1.9.0",3309
"2026-01-18","1.9.1",2636
"2026-01-18","1.9.2",3535
"2026-01-18","1.9.3",2808
"2026-01-18","1.9.4",20467
"2026-01-19","0.9.1",1331
"2026-01-19","1.0.0",1580
"2026-01-19","1.1.0",1013
"2026-01-19","1.1.1",831
"2026-01-19","1.1.2",1763
"2026-01-19","1.1.3",2171
"2026-01-19","1.10.0",4704
"2026-01-19","1.10.1",12664
"2026-01-19","1.11.0",12333
"2026-01-19","1.12.0",9013
"2026-01-19","1.12.1",6398
"2026-01-19","1.12.2",20839
"2026-01-19","1.12.3",12369
"2026-01-19","1.12.4",51273
"2026-01-19","1.13.0",14844
"2026-01-19","1.13.1",25437
"2026-01-19","1.14.0",15753
"2026-01-19","1.14.1",16427
"2026-01-19","1.15.0",18062
"2026-01-19","1.16.0",68960
"2026-01-19","1.17.0",20878
"2026-01-19","1.18.0",21228
"2026-01-19","1.19.0",23024
"2026-01-19","1.2.0",1217
"2026-01-19","1.2.0rc1",11
"2026-01-19","1.2.1",1084
"2026-01-19","1.20.0",22596
"2026-01-19","1.21.0",23730
"2026-01-19","1.21.1",15955
"2026-01-19","1.21.2",23630
"2026-01-19","1.22.0",62962
"2026-01-19","1.23.0",31648
"2026-01-19","1.23.1",28058
"2026-01-19","1.23.2",32383
"2026-01-19","1.23.3",263628
"2026-01-19","1.24.0",63396
"2026-01-19","1.25.0",1049331
"2026-01-19","1.3.0",1789
"2026-01-19","1.3.0rc1",9
"2026-01-19","1.4.0",1074
"2026-01-19","1.4.1",4201
"2026-01-19","1.5.0",5159
"2026-01-19","1.6.0",13778
"2026-01-19","1.7.0",3694
"2026-01-19","1.7.1",5068
"2026-01-19","1.8.0",4673
"2026-01-19","1.8.1",11597
"2026-01-19","1.9.0",7109
"2026-01-19","1.9.1",4828
"2026-01-19","1.9.2",5421
"2026-01-19","1.9.3",6102
"2026-01-19","1.9.4",29502
"2026-01-20","0.9.1",1037
"2026-01-20","1.0.0",1334
"2026-01-20","1.1.0",751
"2026-01-20","1.1.1",666
"2026-01-20","1.1.2",1592
"2026-01-20","1.1.3",1979
"2026-01-20","1.10.0",5582
"2026-01-20","1.10.1",13949
"2026-01-20","1.11.0",15158
"2026-01-20","1.12.0",11755
"2026-01-20","1.12.1",7459
"2026-01-20","1.12.2",20510
"2026-01-20","1.12.3",13084
"2026-01-20","1.12.4",85102
"2026-01-20","1.13.0",18413
"2026-01-20","1.13.1",32168
"2026-01-20","1.14.0",18680
"2026-01-20","1.14.1",20324
"2026-01-20","1.15.0",22518
"2026-01-20","1.16.0",80867
"2026-01-20","1.17.0",26523
"2026-01-20","1.18.0",23403
"2026-01-20","1.19.0",28920
"2026-01-20","1.2.0",912
"2026-01-20","1.2.0rc1",7
"2026-01-20","1.2.1",878
"2026-01-20","1.20.0",30864
"2026-01-20","1.21.0",26758
"2026-01-20","1.21.1",20522
"2026-01-20","1.21.2",28643
