"date","version","downloads"
"2026-06-27","0.9.1",789
"2026-06-27","1.0.0",1298
"2026-06-27","1.1.0",510
"2026-06-27","1.1.1",647
"2026-06-27","1.1.2",1316
"2026-06-27","1.1.3",1108
"2026-06-27","1.10.0",5270
"2026-06-27","1.10.1",12312
"2026-06-27","1.11.0",8128
"2026-06-27","1.12.0",14617
"2026-06-27","1.12.1",28749
"2026-06-27","1.12.2",8436
"2026-06-27","1.12.3",6173
"2026-06-27","1.12.4",30296
"2026-06-27","1.13.0",10776
"2026-06-27","1.13.1",14155
"2026-06-27","1.14.0",12640
"2026-06-27","1.14.1",11165
"2026-06-27","1.15.0",11135
"2026-06-27","1.16.0",35957
"2026-06-27","1.17.0",54012
"2026-06-27","1.18.0",54190
"2026-06-27","1.19.0",58717
"2026-06-27","1.2.0",1241
"2026-06-27","1.2.1",824
"2026-06-27","1.20.0",58448
"2026-06-27","1.21.0",57367
"2026-06-27","1.21.1",56806
"2026-06-27","1.21.2",57178
"2026-06-27","1.22.0",64983
"2026-06-27","1.23.0",68349
"2026-06-27","1.23.1",62563
"2026-06-27","1.23.2",135599
"2026-06-27","1.23.3",372288
"2026-06-27","1.24.0",153373
"2026-06-27","1.25.0",203312
"2026-06-27","1.26.0",600382
"2026-06-27","1.27.0",294195
"2026-06-27","1.27.1",603080
"2026-06-27","1.27.2",295809
"2026-06-27","1.28.0",405212
"2026-06-27","1.28.1",4214059
"2026-06-27","1.3.0",1366
"2026-06-27","1.4.0",972
"2026-06-27","1.4.1",1567
"2026-06-27","1.5.0",2135
"2026-06-27","1.6.0",12640
"2026-06-27","1.7.0",1011
"2026-06-27","1.7.1",1115
"2026-06-27","1.8.0",1592
"2026-06-27","1.8.1",7570
"2026-06-27","1.9.0",7457
"2026-06-27","1.9.1",7425
"2026-06-27","1.9.2",7706
"2026-06-27","1.9.3",6190
"2026-06-27","1.9.4",21775
"2026-06-27","2.0.0a1",321
"2026-06-27","2.0.0a2",6321
"2026-06-27","2.0.0a3",8419
"2026-06-28","0.9.1",861
"2026-06-28","1.0.0",1100
"2026-06-28","1.1.0",452
"2026-06-28","1.1.1",537
"2026-06-28","1.1.2",1279
"2026-06-28","1.1.3",1314
"2026-06-28","1.10.0",5125
"2026-06-28","1.10.1",12905
"2026-06-28","1.11.0",7623
"2026-06-28","1.12.0",17790
"2026-06-28","1.12.1",32224
"2026-06-28","1.12.2",9970
"2026-06-28","1.12.3",6852
"2026-06-28","1.12.4",29094
"2026-06-28","1.13.0",10532
"2026-06-28","1.13.1",14166
"2026-06-28","1.14.0",13153
"2026-06-28","1.14.1",11804
"2026-06-28","1.15.0",11266
"2026-06-28","1.16.0",39136
"2026-06-28","1.17.0",52744
"2026-06-28","1.18.0",52349
"2026-06-28","1.19.0",57159
"2026-06-28","1.2.0",1483
"2026-06-28","1.2.0rc1",3
"2026-06-28","1.2.1",1098
"2026-06-28","1.20.0",57985
"2026-06-28","1.21.0",55643
"2026-06-28","1.21.1",55660
"2026-06-28","1.21.2",55538
"2026-06-28","1.22.0",63197
"2026-06-28","1.23.0",68204
"2026-06-28","1.23.1",62325
"2026-06-28","1.23.2",127338
"2026-06-28","1.23.3",296874
"2026-06-28","1.24.0",142365
"2026-06-28","1.25.0",183758
"2026-06-28","1.26.0",620530
"2026-06-28","1.27.0",284340
"2026-06-28","1.27.1",564679
"2026-06-28","1.27.2",281937
"2026-06-28","1.28.0",375807
"2026-06-28","1.28.1",5177948
"2026-06-28","1.3.0",1632
"2026-06-28","1.3.0rc1",4
"2026-06-28","1.4.0",928
"2026-06-28","1.4.1",1793
"2026-06-28","1.5.0",2155
"2026-06-28","1.6.0",12760
"2026-06-28","1.7.0",1155
"2026-06-28","1.7.1",1206
"2026-06-28","1.8.0",1704
