"date","version","downloads"
"2026-03-19","0.9.1",1487
"2026-03-19","1.0.0",1658
"2026-03-19","1.1.0",1159
"2026-03-19","1.1.1",1515
"2026-03-19","1.1.2",1839
"2026-03-19","1.1.3",3497
"2026-03-19","1.10.0",29918
"2026-03-19","1.10.1",35543
"2026-03-19","1.11.0",35593
"2026-03-19","1.12.0",31511
"2026-03-19","1.12.1",31564
"2026-03-19","1.12.2",46025
"2026-03-19","1.12.3",32757
"2026-03-19","1.12.4",191379
"2026-03-19","1.13.0",41296
"2026-03-19","1.13.1",65568
"2026-03-19","1.14.0",40454
"2026-03-19","1.14.1",54142
"2026-03-19","1.15.0",46592
"2026-03-19","1.16.0",109138
"2026-03-19","1.17.0",47960
"2026-03-19","1.18.0",45742
"2026-03-19","1.19.0",57230
"2026-03-19","1.2.0",1643
"2026-03-19","1.2.0rc1",8
"2026-03-19","1.2.1",1751
"2026-03-19","1.20.0",57996
"2026-03-19","1.21.0",52490
"2026-03-19","1.21.1",43799
"2026-03-19","1.21.2",46579
"2026-03-19","1.22.0",90592
"2026-03-19","1.23.0",68940
"2026-03-19","1.23.1",56305
"2026-03-19","1.23.2",90384
"2026-03-19","1.23.3",374576
"2026-03-19","1.24.0",94063
"2026-03-19","1.25.0",218183
"2026-03-19","1.26.0",4937029
"2026-03-19","1.3.0",2108
"2026-03-19","1.3.0rc1",8
"2026-03-19","1.4.0",2011
"2026-03-19","1.4.1",3938
"2026-03-19","1.5.0",5223
"2026-03-19","1.6.0",43827
"2026-03-19","1.7.0",28863
"2026-03-19","1.7.1",29465
"2026-03-19","1.8.0",28545
"2026-03-19","1.8.1",33155
"2026-03-19","1.9.0",30466
"2026-03-19","1.9.1",34368
"2026-03-19","1.9.2",29854
"2026-03-19","1.9.3",30255
"2026-03-19","1.9.4",56394
"2026-03-20","0.9.1",1997
"2026-03-20","1.0.0",1839
"2026-03-20","1.1.0",1485
"2026-03-20","1.1.1",1695
"2026-03-20","1.1.2",2214
"2026-03-20","1.1.3",3581
"2026-03-20","1.10.0",28554
"2026-03-20","1.10.1",33922
"2026-03-20","1.11.0",34370
"2026-03-20","1.12.0",30139
"2026-03-20","1.12.1",30205
"2026-03-20","1.12.2",43367
"2026-03-20","1.12.3",31600
"2026-03-20","1.12.4",171927
"2026-03-20","1.13.0",38838
"2026-03-20","1.13.1",62507
"2026-03-20","1.14.0",38006
"2026-03-20","1.14.1",48474
"2026-03-20","1.15.0",44208
"2026-03-20","1.16.0",95575
"2026-03-20","1.17.0",45089
"2026-03-20","1.18.0",44725
"2026-03-20","1.19.0",52710
"2026-03-20","1.2.0",1774
"2026-03-20","1.2.0rc1",10
"2026-03-20","1.2.1",2101
"2026-03-20","1.20.0",59423
"2026-03-20","1.21.0",48482
"2026-03-20","1.21.1",41410
"2026-03-20","1.21.2",44364
"2026-03-20","1.22.0",98336
"2026-03-20","1.23.0",60505
"2026-03-20","1.23.1",51014
"2026-03-20","1.23.2",78024
"2026-03-20","1.23.3",331551
"2026-03-20","1.24.0",97542
