"name","engine","total_rows","create_table_query"
"countries","SharedMergeTree",249,"CREATE TABLE pypi.countries (`name` String, `code` String) ENGINE = SharedMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY code SETTINGS index_granularity = 8192"
"countries_code_dict","Dictionary",\N,"CREATE DICTIONARY pypi.countries_code_dict (`name` String, `code` String) PRIMARY KEY name SOURCE(CLICKHOUSE(DATABASE 'pypi' TABLE 'countries')) LIFETIME(MIN 0 MAX 300) LAYOUT(COMPLEX_KEY_HASHED())"
"countries_dict","Dictionary",\N,"CREATE DICTIONARY pypi.countries_dict (`name` String, `code` String) PRIMARY KEY code SOURCE(CLICKHOUSE(DATABASE 'pypi' TABLE 'countries')) LIFETIME(MIN 0 MAX 300) LAYOUT(COMPLEX_KEY_HASHED())"
"last_updated_dict","Dictionary",\N,"CREATE DICTIONARY pypi.last_updated_dict (`name` String, `last_update` DateTime64(3)) PRIMARY KEY name SOURCE(CLICKHOUSE(QUERY 'SELECT name, max(upload_time) AS last_update FROM pypi.projects GROUP BY name')) LIFETIME(MIN 0 MAX 300) LAYOUT(COMPLEX_KEY_HASHED())"
"posts","SharedMergeTree",10640260,"CREATE TABLE pypi.posts (`Id` Nullable(Int64), `PostTypeId` Nullable(Int64), `AcceptedAnswerId` Nullable(Int64), `CreationDate` Nullable(DateTime64(3, 'UTC')), `Score` Nullable(Int64), `ViewCount` Nullable(Int64), `Body` Nullable(String), `OwnerUserId` Nullable(Int64), `OwnerDisplayName` Nullable(String), `LastEditorUserId` Nullable(Int64), `LastEditorDisplayName` Nullable(String), `LastEditDate` Nullable(DateTime64(3, 'UTC')), `LastActivityDate` Nullable(DateTime64(3, 'UTC')), `Title` Nullable(String), `Tags` Nullable(String), `AnswerCount` Nullable(Int64), `CommentCount` Nullable(Int64), `FavoriteCount` Nullable(Int64), `ContentLicense` Nullable(String), `ParentId` Nullable(String), `CommunityOwnedDate` Nullable(DateTime64(3, 'UTC')), `ClosedDate` Nullable(DateTime64(3, 'UTC'))) ENGINE = SharedMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY tuple() SETTINGS index_granularity = 8192"
"project_to_repo_name","SharedReplacingMergeTree",415362,"CREATE TABLE pypi.project_to_repo_name (`project` String, `repo_name` String) ENGINE = SharedReplacingMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY project SETTINGS index_granularity = 8192"
"project_to_repo_name_dict","Dictionary",\N,"CREATE DICTIONARY pypi.project_to_repo_name_dict (`project` String, `repo_name` String) PRIMARY KEY project SOURCE(CLICKHOUSE(TABLE 'project_to_repo_name')) LIFETIME(MIN 300 MAX 600) LAYOUT(COMPLEX_KEY_HASHED())"
"project_to_repo_name_mv","MaterializedView",\N,"CREATE MATERIALIZED VIEW pypi.project_to_repo_name_mv TO pypi.project_to_repo_name (`project` String, `repo_name` String) AS SELECT name AS project, regexpExtract(arrayFilter(l -> (l LIKE '%https://github.com/%'), arrayConcat(project_urls, [home_page]))[1], '.*https://github\\.com/([^/]+/[^/]+)') AS repo_name FROM pypi.projects WHERE length(arrayFilter(l -> (l LIKE '%https://github.com/%'), arrayConcat(project_urls, [home_page]))) >= 1"
"projects","SharedMergeTree",18470267,"CREATE TABLE pypi.projects (`metadata_version` String, `name` String, `version` String, `summary` String, `description` String, `description_content_type` String, `author` String, `author_email` String, `maintainer` String, `maintainer_email` String, `license` String, `keywords` String, `classifiers` Array(String), `platform` Array(String), `home_page` String, `download_url` String, `requires_python` String, `requires` Array(String), `provides` Array(String), `obsoletes` Array(String), `requires_dist` Array(String), `provides_dist` Array(String), `obsoletes_dist` Array(String), `requires_external` Array(String), `project_urls` Array(String), `uploaded_via` String, `upload_time` DateTime64(3), `filename` String, `size` Int64, `path` String, `python_version` String, `packagetype` String, `comment_text` String, `has_signature` Bool, `md5_digest` String, `sha256_digest` String, `blake2_256_digest` String) ENGINE = SharedMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY name SETTINGS index_granularity = 8192"
"pypi","SharedMergeTree",3474546575542,"CREATE TABLE pypi.pypi (`date` Date, `country_code` LowCardinality(String), `project` String, `type` LowCardinality(String), `installer` LowCardinality(String), `python_minor` LowCardinality(String), `system` LowCardinality(String), `version` String, `libc` Tuple(lib LowCardinality(String), version LowCardinality(String)) DEFAULT ('', ''), `ci` Enum8('false' = 0, 'true' = 1, 'unknown' = 2) DEFAULT 'unknown', `filename` String DEFAULT '') ENGINE = SharedMergeTree('/clickhouse/tables/{uuid}/{shard}', '{replica}') ORDER BY (project, date, version, country_code, python_minor, system) SETTINGS index_granularity = 8192"
