"project","version","first_upload_utc","file_types"
"lean-lsp-mcp","0.1.2","2025-03-31 13:52:50.299","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.1.3","2025-04-01 09:45:37.453","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.1.4","2025-04-02 12:04:52.205","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.1.5","2025-04-08 07:45:23.348","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.1.6","2025-04-17 11:52:29.011","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.1.7","2025-05-03 11:19:47.955","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.1.8","2025-05-11 09:09:48.383","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.1.9","2025-05-27 15:50:41.397","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.1.10","2025-06-01 20:40:05.109","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.1.11","2025-06-02 21:24:25.714","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.2.0","2025-06-13 14:25:09.496","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.3.0","2025-06-27 22:40:38.022","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.3.1","2025-06-29 11:20:03.501","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.4.0","2025-07-04 21:02:46.702","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.4.1","2025-07-07 15:14:36.781","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.5.0","2025-07-12 07:21:30.508","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.5.1","2025-07-15 09:58:30.165","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.6.0","2025-07-22 19:39:43.446","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.6.1","2025-07-24 13:06:59.081","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.6.2","2025-08-01 06:24:19.781","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.6.3","2025-08-01 17:16:18.575","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.6.4","2025-08-28 08:14:14.948","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.7.0","2025-09-07 11:21:24.930","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.7.1","2025-09-26 03:46:28.413","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.7.2","2025-10-12 19:35:25.301","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.8.0","2025-10-15 01:49:07.651","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.8.1","2025-10-15 16:05:23.164","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.8.2","2025-10-16 02:21:36.492","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.9.0","2025-10-17 16:40:59.460","['bdist_wheel','sdist']"
"lean-lsp-mcp","0.9.1","2025-10-18 21:58:09.069","['sdist','bdist_wheel']"
"lean-lsp-mcp","0.10.0","2025-10-21 03:10:44.251","['bdist_wheel','sdist']"
