date,pepy_total,clickpy_total,pepy_1_28_1,clickpy_1_28_1,pypistats_with_mirrors
2026-06-27,8183046,8183046,4214059,4214059,8183046
2026-06-28,8958547,8958547,5177948,5177948,8958547
2026-06-29,12258230,12256929,6681872,6681206,12258230
2026-06-30,11196041,11196041,5304115,5304115,11196041
2026-07-01,11535102,11535102,5471960,5471960,11535102
2026-07-02,11475441,11475441,5618432,5618432,11475441
2026-07-03,9735562,9735562,4760226,4760226,9735562
2026-07-04,7425882,7425882,3871645,3871645,7425882
2026-07-05,6787890,6787890,3352937,3352937,6787890
2026-07-06,10258393,10258393,4768003,4768003,10258393
2026-07-07,11246868,11246868,5475583,5475583,11246868
2026-07-08,10292283,10292283,4604832,4604832,10292283
2026-07-09,9646402,9681551,4432904,4449318,9646402
2026-07-10,10390808,10390808,4716343,4716343,10390808
2026-07-11,7924621,7924621,3978008,3978008,7924621
2026-07-12,7876160,7893547,4227321,4236526,7876160
2026-07-13,7855796,10869957,5200289,5200289,10869957
2026-07-14,10886692,10885581,4971098,4970592,10886692
2026-07-15,11075016,11075016,5238246,5238246,11075016
2026-07-16,10627429,10627429,5083817,5083817,10627429
2026-07-17,10612236,10612236,5501696,5501696,10612236
2026-07-18,7512328,7512328,4131436,4131436,7512328
2026-07-19,7038358,7089132,3773235,3800398,7038358
2026-07-20,10243065,10300175,5554127,5585061,10243065
2026-07-21,10970029,10970029,5870065,5870065,10970029
2026-07-22,11442805,11170185,6043403,5897721,11362027
2026-07-23,11294739,10978392,6282941,6101255,11155363
2026-07-24,10640639,10640639,6093692,6093692,10640639
2026-07-25,7576033,7576033,4311294,4311294,7576033
2026-07-26,7655823,7655823,4475591,4475591,7655823
2026-07-27,11627019,11621451,6890142,6881056,11627019
2026-07-28,14298709,13498579,4650561,4544448,13729435
2026-07-29,14944558,14219819,1689353,1610128,14469927
2026-07-30,14460198,13752029,1717517,1623388,13998000
2026-07-31,13563181,13563181,1808974,1808974,13563181
2026-08-01,10381669,10381669,1340218,1340218,10381669
2026-08-02,9499722,9499722,1274992,1274992,9499722
2026-08-03,13465017,13148435,1941740,1892894,13352805
2026-08-04,13839390,13166147,2071037,1973082,13437015
2026-08-05,13355285,12858924,2099768,2016982,13056972
2026-08-06,207746,11708293,0,1704746,11709432
2026-08-07,13228484,13180030,1898025,1893269,13228484
2026-08-08,9468863,9468863,1264444,1264444,9468863
2026-08-09,8999880,8999880,1285185,1285185,8999880
2026-08-10,12515484,11878807,1808985,1724085,12079927
2026-08-11,13341276,12541845,1847130,1747133,12774636
2026-08-12,13535393,12941829,1902407,1809569,13131882
2026-08-13,15533081,14710261,2138420,2051800,14979646
2026-08-14,691203,14306178,0,1909298,14306178
2026-08-15,10885052,10885052,1256783,1256783,10885052
2026-08-16,10074418,10074418,1251483,1251483,10074418
2026-08-17,13244333,13208692,1706260,1701467,13244333
2026-08-18,14720556,13684450,1937083,1795576,13922317
2026-08-19,13570253,12968728,1740875,1667599,13163316
2026-08-20,13237792,12570274,1554793,1474746,12760267
2026-08-21,12529425,12529425,1508067,1508067,12529425
2026-08-22,9279199,9279199,997569,997569,9279199
2026-08-23,8853969,8853110,1028377,1028265,8853969
2026-08-24,11229451,11227171,1414931,1414628,11229451
2026-08-25,7949595,7949595,1166354,1166354,7949595
2026-08-26,7636833,7636833,1120621,1120621,7636833
2026-08-27,7159155,7159155,1131006,1131006,7159155
2026-08-28,6338400,6341827,972698,973277,6338400
2026-08-29,4268431,4268431,590844,590844,4268431
2026-08-30,4166242,4166242,595296,595296,4166242
2026-08-31,6543888,6543888,1082307,1082307,6543888
2026-09-01,7321243,7321243,1213290,1213290,7321243
2026-09-02,7556457,7556457,1331689,1331689,7556457
2026-09-03,7994526,7994526,1418954,1418954,7994526
2026-09-04,7422717,7421957,1436369,1436218,7422717
2026-09-05,5649501,5649501,857214,857214,5649501
2026-09-06,5936048,5936048,659360,659360,5936048
2026-09-07,7844355,7844355,1095040,1095040,7844355
2026-09-08,3368614,9609576,1309109,1309109,9609576
2026-09-09,8723190,8723190,1198508,1198508,8723190
2026-09-10,8451645,8451645,1218447,1218447,8451645
2026-09-11,7835748,7835748,1143755,1143755,7835748
2026-09-12,5286377,5286377,638691,638691,5286377
2026-09-13,5091697,5091697,656307,656307,5091697
2026-09-14,7895263,7895263,1182351,1182351,7895263
2026-09-15,8570754,8570754,1190784,1190784,8570754
2026-09-16,8411331,8411331,1235625,1235625,8411331
2026-09-17,8931317,8931317,1543205,1543205,8931317
2026-09-18,9203216,9203216,1257002,1257002,9203216
2026-09-19,6109416,6109416,529704,529704,6109416
2026-09-20,5203662,5203662,532699,532699,5203662
2026-09-21,7721942,7721942,1000411,1000411,7721942
2026-09-22,8631289,8630434,1140236,1140123,8631289
2026-09-23,8928718,8928718,1209612,1209612,8928718
2026-09-24,9033596,9072430,1239210,1244716,9033596
2026-09-25,8637680,8637680,1082818,1082818,8637680
