figure,value,denominator,basis
pypistats mcp overall series: first and last day held,2026-03-29 to 2026-09-25,181 days,"pypistats_mcp_overall.csv, read 2026-09-26"
"ClickPy per-day table against pypistats with mirrors, LH002 window days both hold: days compared",25,,cross_copy_daily_totals.csv
"ClickPy per-day table against pypistats with mirrors, LH002 window days both hold: days identical",17,25 days,cross_copy_daily_totals.csv
"ClickPy per-day table against pypistats with mirrors, LH002 window days both hold: median absolute daily difference, per cent",0.0,25 days,cross_copy_daily_totals.csv
"ClickPy per-day table against pypistats with mirrors, LH002 window days both hold: largest absolute daily difference, per cent",1.004,7788556 against 7711168,cross_copy_daily_totals.csv
"ClickPy per-day table against pypistats with mirrors, LH002 window days both hold: summed over the days compared",195550849 against 195206736 (0.18 per cent),25 days,cross_copy_daily_totals.csv
"ClickPy per-day table against pypistats with mirrors, every day both hold: days compared",181,,cross_copy_daily_totals.csv
"ClickPy per-day table against pypistats with mirrors, every day both hold: days identical",120,181 days,cross_copy_daily_totals.csv
"ClickPy per-day table against pypistats with mirrors, every day both hold: median absolute daily difference, per cent",0.0,181 days,cross_copy_daily_totals.csv
"ClickPy per-day table against pypistats with mirrors, every day both hold: largest absolute daily difference, per cent",2.69,9807955 against 10079074,cross_copy_daily_totals.csv
"ClickPy per-day table against pypistats with mirrors, every day both hold: summed over the days compared",1664535872 against 1667159270 (-0.16 per cent),181 days,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list, against pypistats without mirrors, window and margin days both hold: days compared",32,,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list, against pypistats without mirrors, window and margin days both hold: days identical",0,32 days,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list, against pypistats without mirrors, window and margin days both hold: median absolute daily difference, per cent",0.088,32 days,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list, against pypistats without mirrors, window and margin days both hold: largest absolute daily difference, per cent",2.092,9565476 against 9369430,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list, against pypistats without mirrors, window and margin days both hold: summed over the days compared",250696216 against 249788734 (0.36 per cent),32 days,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list and less downloads with no installer name, against pypistats without mirrors: days compared",32,,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list and less downloads with no installer name, against pypistats without mirrors: days identical",22,32 days,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list and less downloads with no installer name, against pypistats without mirrors: median absolute daily difference, per cent",0.0,32 days,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list and less downloads with no installer name, against pypistats without mirrors: largest absolute daily difference, per cent",2.001,9556911 against 9369430,cross_copy_daily_totals.csv
"ClickPy installer table less pypistats mirror list and less downloads with no installer name, against pypistats without mirrors: summed over the days compared",250408232 against 249788734 (0.25 per cent),32 days,cross_copy_daily_totals.csv
days on which ClickPy and pypistats agree on the total and ClickPy less mirrors and no-installer rows equals pypistats without mirrors exactly,22,"22 days with identical totals, 29 March to 29 April",cross_copy_daily_totals.csv
"ClickPy by-version table against ClickPy per-day table, window and margin: days compared",42,,cross_copy_daily_totals.csv
"ClickPy by-version table against ClickPy per-day table, window and margin: days identical",41,42 days,cross_copy_daily_totals.csv
"ClickPy by-version table against ClickPy per-day table, window and margin: median absolute daily difference, per cent",0.0,42 days,cross_copy_daily_totals.csv
"ClickPy by-version table against ClickPy per-day table, window and margin: largest absolute daily difference, per cent",0.998,6524343 against 6459869,cross_copy_daily_totals.csv
"ClickPy by-version table against ClickPy per-day table, window and margin: summed over the days compared",318715445 against 318650971 (0.02 per cent),42 days,cross_copy_daily_totals.csv
"ClickPy per-download table against ClickPy by-version table, window and margin: days compared",42,,cross_copy_daily_totals.csv
"ClickPy per-download table against ClickPy by-version table, window and margin: days identical",36,42 days,cross_copy_daily_totals.csv
"ClickPy per-download table against ClickPy by-version table, window and margin: median absolute daily difference, per cent",0.0,42 days,cross_copy_daily_totals.csv
"ClickPy per-download table against ClickPy by-version table, window and margin: largest absolute daily difference, per cent",0.988,6459869 against 6524343,cross_copy_daily_totals.csv
"ClickPy per-download table against ClickPy by-version table, window and margin: summed over the days compared",318422940 against 318715445 (-0.09 per cent),42 days,cross_copy_daily_totals.csv
"ClickPy installer table against ClickPy by-version table, window and margin: days compared",42,,cross_copy_daily_totals.csv
"ClickPy installer table against ClickPy by-version table, window and margin: days identical",40,42 days,cross_copy_daily_totals.csv
"ClickPy installer table against ClickPy by-version table, window and margin: median absolute daily difference, per cent",0.0,42 days,cross_copy_daily_totals.csv
"ClickPy installer table against ClickPy by-version table, window and margin: largest absolute daily difference, per cent",0.99,10737425 against 10632131,cross_copy_daily_totals.csv
"ClickPy installer table against ClickPy by-version table, window and margin: summed over the days compared",318756265 against 318715445 (0.01 per cent),42 days,cross_copy_daily_totals.csv
"pypistats mcp: mirror downloads (with minus without), share of with-mirrors total",0.21,3470677 of 1667159270 over 181 days,pypistats_mcp_overall.csv
pepy anonymous v2 API for mcp: days held,2026-06-27 to 2026-09-25,91 days,pepy_mcp_daily_by_version.csv
pepy against ClickPy: version-days with identical counts,4139,6062 version-days,cross_copy_pepy_clickpy.csv
"pepy daily total against ClickPy by-version daily total, days pepy holds: days compared",91,,cross_copy_pepy_clickpy.csv
"pepy daily total against ClickPy by-version daily total, days pepy holds: days identical",57,91 days,cross_copy_pepy_clickpy.csv
"pepy daily total against ClickPy by-version daily total, days pepy holds: median absolute daily difference, per cent",0.0,91 days,cross_copy_pepy_clickpy.csv
"pepy daily total against ClickPy by-version daily total, days pepy holds: largest absolute daily difference, per cent",98.226,207746 against 11708293,cross_copy_pepy_clickpy.csv
"pepy daily total against ClickPy by-version daily total, days pepy holds: summed over the days compared",855025716 against 880036381 (-2.84 per cent),91 days,cross_copy_pepy_clickpy.csv
"pepy daily total against pypistats with mirrors, days pepy holds: days compared",91,,cross_copy_pepy_clickpy.csv
"pepy daily total against pypistats with mirrors, days pepy holds: days identical",72,91 days,cross_copy_pepy_clickpy.csv
"pepy daily total against pypistats with mirrors, days pepy holds: median absolute daily difference, per cent",0.0,91 days,cross_copy_pepy_clickpy.csv
"pepy daily total against pypistats with mirrors, days pepy holds: largest absolute daily difference, per cent",98.226,207746 against 11709432,cross_copy_pepy_clickpy.csv
"pepy daily total against pypistats with mirrors, days pepy holds: summed over the days compared",855025716 against 883216499 (-3.19 per cent),91 days,cross_copy_pepy_clickpy.csv
mcp downloads in the LH002 window (ClickPy installer table),219940356,28 UTC days,mcp_installer_and_file_type_window.csv
"window share of mcp downloads, installer class uv",78.56,172783051 of 219940356,mcp_installer_and_file_type_window.csv
"window share of mcp downloads, installer class pip",20.4,44872032 of 219940356,mcp_installer_and_file_type_window.csv
"window share of mcp downloads, installer class poetry, pdm and other project managers",0.81,1788688 of 219940356,mcp_installer_and_file_type_window.csv
"window share of mcp downloads, installer class none recorded",0.12,255315 of 219940356,mcp_installer_and_file_type_window.csv
"window share of mcp downloads, installer class requests",0.05,119237 of 219940356,mcp_installer_and_file_type_window.csv
"window share of mcp downloads, installer class mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",0.02,50791 of 219940356,mcp_installer_and_file_type_window.csv
"window share of mcp downloads, installer class Bazel",0.02,38023 of 219940356,mcp_installer_and_file_type_window.csv
