grouping,group,downloads_whole_window,share_of_window_pct,downloads_3_to_22_april,1.27.0_downloads_3_to_22_april,share_of_group_that_was_1.27.0_pct,share_of_all_1.27.0_downloads_pct,denominator_window,denominator_3_to_22_april,denominator_1.27.0
installer class,uv,172783051,78.56,129945234,76466745,58.85,81.26,219940356,164058819,94095825
installer class,pip,44872032,20.4,32546513,17280928,53.1,18.37,219940356,164058819,94095825
installer class,"poetry, pdm and other project managers",1788688,0.81,1260773,267687,21.23,0.28,219940356,164058819,94095825
installer class,none recorded,255315,0.12,124213,56869,45.78,0.06,219940356,164058819,94095825
installer class,requests,119237,0.05,94825,9177,9.68,0.01,219940356,164058819,94095825
installer class,"mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",50791,0.02,36934,10502,28.43,0.01,219940356,164058819,94095825
installer class,Bazel,38023,0.02,24660,234,0.95,0.0,219940356,164058819,94095825
installer class,Browser,31724,0.01,24684,3078,12.47,0.0,219940356,164058819,94095825
installer class,"other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1495,0.0,983,605,61.55,0.0,219940356,164058819,94095825
installer name,uv,172783051,78.56,129945234,76466745,58.85,81.26,219940356,164058819,94095825
installer name,pip,44872032,20.4,32546513,17280928,53.1,18.37,219940356,164058819,94095825
installer name,poetry,1788662,0.81,1260771,267685,21.23,0.28,219940356,164058819,94095825
installer name,(none recorded),255315,0.12,124213,56869,45.78,0.06,219940356,164058819,94095825
installer name,requests,119237,0.05,94825,9177,9.68,0.01,219940356,164058819,94095825
installer name,Nexus,47834,0.02,34503,10123,29.34,0.01,219940356,164058819,94095825
installer name,Bazel,38023,0.02,24660,234,0.95,0.0,219940356,164058819,94095825
installer name,Browser,31724,0.01,24684,3078,12.47,0.0,219940356,164058819,94095825
installer name,bandersnatch,2073,0.0,1851,156,8.43,0.0,219940356,164058819,94095825
installer name,Homebrew,1301,0.0,815,453,55.58,0.0,219940356,164058819,94095825
installer name,devpi,683,0.0,516,209,40.5,0.0,219940356,164058819,94095825
installer name,Artifactory,201,0.0,64,14,21.88,0.0,219940356,164058819,94095825
installer name,OS,93,0.0,75,63,84.0,0.0,219940356,164058819,94095825
installer name,setuptools,66,0.0,63,62,98.41,0.0,219940356,164058819,94095825
installer name,pip​,30,0.0,30,27,90.0,0.0,219940356,164058819,94095825
installer name,pdm,26,0.0,2,2,100.0,0.0,219940356,164058819,94095825
installer name,conda,5,0.0,0,0,,0.0,219940356,164058819,94095825
file type (file-type table),bdist_wheel,219875255,99.99,163938006,94025433,57.35,99.99,219899536,163953525,94032758
file type (file-type table),sdist,24281,0.01,15519,7325,47.2,0.01,219899536,163953525,94032758
file type as the installer table gives it (unreliable: type is outside that table's key),bdist_wheel,218977017,99.56,164044508,94090689,57.36,99.99,219940356,164058819,94095825
file type as the installer table gives it (unreliable: type is outside that table's key),sdist,963339,0.44,14311,5136,35.89,0.01,219940356,164058819,94095825
