date,category,downloads
2026-03-29,with_mirrors,4093513
2026-03-29,without_mirrors,4090842
2026-03-30,with_mirrors,5904115
2026-03-30,without_mirrors,5887662
2026-03-31,with_mirrors,6459869
2026-03-31,without_mirrors,6441302
2026-04-01,with_mirrors,7711168
2026-04-01,without_mirrors,7655259
2026-04-02,with_mirrors,7352034
2026-04-02,without_mirrors,7330361
2026-04-03,with_mirrors,6657833
2026-04-03,without_mirrors,6651069
2026-04-04,with_mirrors,5243831
2026-04-04,without_mirrors,5241972
2026-04-05,with_mirrors,4863318
2026-04-05,without_mirrors,4861486
2026-04-06,with_mirrors,6579801
2026-04-06,without_mirrors,6574814
2026-04-07,with_mirrors,7251596
2026-04-07,without_mirrors,7244136
2026-04-08,with_mirrors,8809977
2026-04-08,without_mirrors,8802308
2026-04-09,with_mirrors,8573153
2026-04-09,without_mirrors,8565079
2026-04-10,with_mirrors,7387765
2026-04-10,without_mirrors,7379719
2026-04-11,with_mirrors,6012894
2026-04-11,without_mirrors,6010648
2026-04-12,with_mirrors,8733743
2026-04-12,without_mirrors,8731458
2026-04-13,with_mirrors,9713031
2026-04-13,without_mirrors,9704695
2026-04-14,with_mirrors,10636988
2026-04-14,without_mirrors,10627857
2026-04-15,with_mirrors,9205927
2026-04-15,without_mirrors,9197350
2026-04-16,with_mirrors,8348061
2026-04-16,without_mirrors,8338720
2026-04-17,with_mirrors,9455932
2026-04-17,without_mirrors,9447966
2026-04-18,with_mirrors,7628519
2026-04-18,without_mirrors,7626256
2026-04-19,with_mirrors,7657148
2026-04-19,without_mirrors,7654739
2026-04-20,with_mirrors,10026084
2026-04-20,without_mirrors,10018271
2026-04-21,with_mirrors,10527480
2026-04-21,without_mirrors,10517594
2026-04-22,with_mirrors,10372956
2026-04-22,without_mirrors,10363574
2026-04-23,with_mirrors,9787759
2026-04-23,without_mirrors,9778866
2026-04-24,with_mirrors,9378185
2026-04-24,without_mirrors,9369430
2026-04-25,with_mirrors,6809161
2026-04-25,without_mirrors,6805807
2026-04-26,with_mirrors,6080967
2026-04-26,without_mirrors,6078208
2026-04-27,with_mirrors,7459282
2026-04-27,without_mirrors,7451815
2026-04-28,with_mirrors,7654972
2026-04-28,without_mirrors,7645834
2026-04-29,with_mirrors,7702219
2026-04-29,without_mirrors,7693637
2026-04-30,with_mirrors,7755120
2026-04-30,without_mirrors,7745897
2026-05-01,with_mirrors,7126277
2026-05-01,without_mirrors,7118972
2026-05-02,with_mirrors,6024743
2026-05-02,without_mirrors,6022085
2026-05-03,with_mirrors,5634159
2026-05-03,without_mirrors,5631545
2026-05-04,with_mirrors,7231187
2026-05-04,without_mirrors,7222092
2026-05-05,with_mirrors,8800710
2026-05-05,without_mirrors,8789773
2026-05-06,with_mirrors,9200531
