series,release,measure,date,day_after_release,release_downloads,denominator,share_pct
all installers,1.27.0,first UTC day with any download,2026-04-02,0,1639539,7351271,22.3
all installers,1.27.0,first UTC day with share at or above 10 per cent,2026-04-02,0,1639539,7351271,22.3
all installers,1.27.0,first UTC day with share at or above 25 per cent,2026-04-03,1,3201463,6657180,48.09
all installers,1.27.0,first UTC day with share at or above 50 per cent,2026-04-04,2,2673423,5243831,50.98
all installers,1.27.0,highest daily share in the span read,2026-04-12,10,6161983,8733743,70.55
all installers,1.26.0,first UTC day with any download,2026-01-24,0,188077,1585920,11.86
all installers,1.26.0,first UTC day with share at or above 10 per cent,2026-01-24,0,188077,1585920,11.86
all installers,1.26.0,first UTC day with share at or above 25 per cent,2026-01-25,1,1042794,1690307,61.69
all installers,1.26.0,first UTC day with share at or above 50 per cent,2026-01-25,1,1042794,1690307,61.69
all installers,1.26.0,highest daily share in the span read,2026-02-22,29,1597467,2344703,68.13
installer class: Bazel,1.27.0,first UTC day with any download,2026-04-02,0,2,3019,0.07
installer class: Bazel,1.27.0,first UTC day with share at or above 10 per cent,not reached,,,,
installer class: Bazel,1.27.0,first UTC day with share at or above 25 per cent,not reached,,,,
installer class: Bazel,1.27.0,first UTC day with share at or above 50 per cent,not reached,,,,
installer class: Bazel,1.27.0,highest daily share in the span read,2026-04-25,23,34,363,9.37
installer class: Browser,1.27.0,first UTC day with any download,2026-04-02,0,518,1456,35.58
installer class: Browser,1.27.0,first UTC day with share at or above 10 per cent,2026-04-02,0,518,1456,35.58
installer class: Browser,1.27.0,first UTC day with share at or above 25 per cent,2026-04-02,0,518,1456,35.58
installer class: Browser,1.27.0,first UTC day with share at or above 50 per cent,not reached,,,,
installer class: Browser,1.27.0,highest daily share in the span read,2026-04-03,1,542,1183,45.82
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.27.0,first UTC day with any download,2026-04-02,0,298,2317,12.86
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.27.0,first UTC day with share at or above 10 per cent,2026-04-02,0,298,2317,12.86
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.27.0,first UTC day with share at or above 25 per cent,2026-04-03,1,501,1622,30.89
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.27.0,first UTC day with share at or above 50 per cent,2026-04-25,23,243,449,54.12
"installer class: mirror or proxy (bandersnatch, devpi, Artifactory, Nexus)",1.27.0,highest daily share in the span read,2026-04-25,23,243,449,54.12
installer class: none recorded,1.27.0,first UTC day with any download,2026-04-02,0,1987,21478,9.25
installer class: none recorded,1.27.0,first UTC day with share at or above 10 per cent,2026-04-03,1,2641,6587,40.09
installer class: none recorded,1.27.0,first UTC day with share at or above 25 per cent,2026-04-03,1,2641,6587,40.09
installer class: none recorded,1.27.0,first UTC day with share at or above 50 per cent,2026-04-18,16,1307,2227,58.69
installer class: none recorded,1.27.0,highest daily share in the span read,2026-04-28,26,5956,9050,65.81
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.27.0,first UTC day with any download,2026-04-02,0,5,60,8.33
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.27.0,first UTC day with share at or above 10 per cent,2026-04-03,1,25,39,64.1
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.27.0,first UTC day with share at or above 25 per cent,2026-04-03,1,25,39,64.1
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.27.0,first UTC day with share at or above 50 per cent,2026-04-03,1,25,39,64.1
"installer class: other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",1.27.0,highest daily share in the span read,2026-04-22,20,105,114,92.11
installer class: pip,1.27.0,first UTC day with any download,2026-04-02,0,357603,1778264,20.11
